"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","1,120","1,120","1,120","1,120","2,50K","0,00%"
"28/03/2023","1,120","1,120","1,120","1,120","4,84K","0,00%"
"27/03/2023","1,120","1,120","1,120","1,120","5,85K","0,00%"
"24/03/2023","1,120","1,120","1,120","1,120","1,01K","0,00%"
"23/03/2023","1,120","1,120","1,120","1,120","1,02K","0,00%"
"22/03/2023","1,120","1,120","1,120","1,120","1,48K","1,82%"
"21/03/2023","1,100","1,100","1,100","1,100","0,30K","-1,79%"
"17/03/2023","1,120","1,120","1,120","1,120","1,15K","-2,61%"
"16/03/2023","1,150","1,180","1,180","1,150","6,26K","-3,36%"
"14/03/2023","1,190","1,190","1,190","1,190","1,58K","0,00%"
"13/03/2023","1,190","1,190","1,190","1,190","2,02K","0,00%"
"02/03/2023","1,190","1,190","1,190","1,190","0,03K","0,00%"
"01/03/2023","1,190","1,190","1,190","1,190","0,02K","3,48%"
"28/02/2023","1,150","1,150","1,150","1,150","0,60K","-4,17%"
"24/02/2023","1,200","1,200","1,200","1,200","0,00K","-3,23%"
"20/02/2023","1,240","1,240","1,240","1,240","0,02K","0,00%"
"17/02/2023","1,240","1,240","1,240","1,240","0,51K","0,00%"
"16/02/2023","1,240","1,240","1,240","1,240","0,04K","0,00%"
"15/02/2023","1,240","1,240","1,240","1,240","2,66K","-3,88%"
"13/02/2023","1,290","1,290","1,290","1,290","0,05K","0,00%"
"09/02/2023","1,290","1,290","1,290","1,290","2,55K","-0,77%"
"07/02/2023","1,300","1,300","1,300","1,300","0,34K","0,78%"
"03/02/2023","1,290","1,290","1,290","1,290","2,00K","1,57%"
"02/02/2023","1,270","1,270","1,270","1,270","2,83K","0,79%"
"01/02/2023","1,260","1,260","1,260","1,260","0,02K","-3,82%"
"26/01/2023","1,310","1,260","1,310","1,260","0,16K","0,00%"
"24/01/2023","1,310","1,310","1,310","1,310","1,36K","-8,39%"
"16/01/2023","1,430","1,430","1,430","1,430","0,25K","0,00%"
"13/01/2023","1,430","1,430","1,430","1,430","18,69K","3,62%"
"12/01/2023","1,380","1,330","1,380","1,330","67,92K","3,76%"
"11/01/2023","1,330","1,330","1,330","1,330","3,84K","-7,64%"
"10/01/2023","1,440","1,440","1,440","1,440","0,23K","-4,64%"
"06/01/2023","1,510","1,510","1,510","1,510","7,70K","-1,95%"
"05/01/2023","1,540","1,540","1,540","1,540","0,40K","-12,00%"
"28/12/2022","1,750","1,750","1,750","1,750","5,00K","0,00%"
"27/12/2022","1,750","1,750","1,750","1,750","3,62K","-1,69%"
"23/12/2022","1,780","1,780","1,780","1,780","0,50K","0,00%"
"22/12/2022","1,780","1,780","1,780","1,780","2,09K","1,71%"
"21/12/2022","1,750","1,750","1,750","1,750","1,00K","0,00%"
"20/12/2022","1,750","1,750","1,750","1,750","1,50K","0,57%"
"19/12/2022","1,740","1,740","1,740","1,740","0,50K","2,35%"
"16/12/2022","1,700","1,700","1,700","1,700","6,80K","1,19%"
"15/12/2022","1,680","1,680","1,680","1,680","0,32K","0,00%"
"14/12/2022","1,680","1,670","1,680","1,670","0,09K","0,60%"
"13/12/2022","1,670","1,670","1,670","1,670","0,04K","4,37%"
"12/12/2022","1,600","1,600","1,600","1,600","0,41K","3,23%"
"09/12/2022","1,550","1,490","1,550","1,490","0,81K","4,03%"
"08/12/2022","1,490","1,490","1,490","1,490","3,67K","-3,25%"
"07/12/2022","1,540","1,500","1,540","1,500","2,45K","3,36%"
"06/12/2022","1,490","1,490","1,490","1,490","1,21K","0,00%"
"05/12/2022","1,490","1,490","1,490","1,490","0,73K","0,68%"
"02/12/2022","1,480","1,480","1,480","1,480","0,84K","2,78%"
"01/12/2022","1,440","1,420","1,440","1,420","4,95K","2,86%"
"30/11/2022","1,400","1,360","1,400","1,360","1,28K","3,70%"
"29/11/2022","1,350","1,350","1,350","1,350","0,60K","0,00%"
"28/11/2022","1,350","1,350","1,350","1,350","0,12K","0,00%"
"25/11/2022","1,350","1,350","1,350","1,350","0,85K","1,50%"
"24/11/2022","1,330","1,330","1,330","1,330","0,15K","3,91%"
"22/11/2022","1,280","1,240","1,280","1,240","0,22K","8,47%"
"18/11/2022","1,180","1,180","1,180","1,180","0,54K","-1,67%"
"17/11/2022","1,200","1,200","1,200","1,200","0,27K","0,00%"
"14/11/2022","1,200","1,200","1,200","1,200","0,03K","0,00%"
"11/11/2022","1,200","1,200","1,200","1,200","6,76K","0,00%"
"10/11/2022","1,200","1,200","1,200","1,200","0,72K","0,00%"
"09/11/2022","1,200","1,200","1,200","1,200","2,52K","0,00%"
"07/11/2022","1,200","1,200","1,200","1,200","0,10K","0,00%"
"04/11/2022","1,200","1,200","1,200","1,200","0,25K","-3,23%"
"28/10/2022","1,240","1,240","1,240","1,240","0,02K","0,00%"
"24/10/2022","1,240","1,240","1,240","1,240","1,00K","-3,12%"
"21/10/2022","1,280","1,280","1,280","1,280","0,20K","-2,29%"
"19/10/2022","1,310","1,340","1,340","1,310","1,28K","-2,24%"
"18/10/2022","1,340","1,340","1,340","1,340","0,53K","0,00%"
"17/10/2022","1,340","1,340","1,340","1,340","0,04K","3,88%"
"14/10/2022","1,290","1,280","1,290","1,280","1,86K","4,03%"
"12/10/2022","1,240","1,240","1,240","1,240","1,19K","0,00%"
"11/10/2022","1,240","1,240","1,240","1,240","2,63K","-9,49%"
"06/10/2022","1,370","1,370","1,370","1,370","0,60K","-0,72%"
"05/10/2022","1,380","1,380","1,380","1,380","0,55K","1,47%"
"04/10/2022","1,360","1,360","1,360","1,360","0,10K","2,26%"
"03/10/2022","1,330","1,330","1,330","1,330","0,02K","7,26%"
"29/09/2022","1,240","1,240","1,240","1,240","1,84K","0,00%"
"27/09/2022","1,240","1,240","1,240","1,240","0,05K","0,00%"
"23/09/2022","1,240","1,230","1,240","1,230","0,80K","0,00%"
"22/09/2022","1,240","1,240","1,240","1,240","0,55K","-8,15%"
"20/09/2022","1,350","1,330","1,350","1,330","0,59K","3,85%"
"14/09/2022","1,300","1,300","1,300","1,300","0,01K","-7,14%"
"09/09/2022","1,400","1,400","1,400","1,400","0,02K","0,72%"
"08/09/2022","1,390","1,390","1,390","1,390","0,62K","0,72%"
"07/09/2022","1,380","1,380","1,380","1,380","0,51K","0,00%"
"06/09/2022","1,380","1,380","1,380","1,380","0,02K","2,22%"
"05/09/2022","1,350","1,350","1,350","1,350","0,06K","3,85%"
"02/09/2022","1,300","1,300","1,300","1,300","0,04K","4,00%"
"01/09/2022","1,250","1,250","1,250","1,250","0,29K","0,00%"
"31/08/2022","1,250","1,240","1,250","1,240","0,62K","-3,10%"
"30/08/2022","1,290","1,290","1,290","1,290","0,10K","0,00%"
"26/08/2022","1,290","1,300","1,300","1,290","0,31K","-0,77%"
"25/08/2022","1,300","1,300","1,300","1,300","0,03K","3,17%"
"23/08/2022","1,260","1,260","1,260","1,260","1,89K","0,80%"
"22/08/2022","1,250","1,250","1,250","1,250","0,70K","1,63%"
"18/08/2022","1,230","1,260","1,260","1,230","4,88K","-3,91%"
"17/08/2022","1,280","1,280","1,280","1,280","0,54K","-2,29%"
"16/08/2022","1,310","1,310","1,310","1,310","0,02K","0,00%"
"15/08/2022","1,310","1,310","1,310","1,310","0,02K","0,00%"
"12/08/2022","1,310","1,310","1,310","1,310","0,00K","0,00%"
"11/08/2022","1,310","1,310","1,310","1,310","0,02K","0,00%"
"10/08/2022","1,310","1,310","1,310","1,310","0,10K","0,00%"
"09/08/2022","1,310","1,300","1,310","1,300","0,03K","0,77%"
"08/08/2022","1,300","1,300","1,300","1,300","0,00K","1,56%"
"05/08/2022","1,280","1,280","1,280","1,280","0,00K","4,07%"
"04/08/2022","1,230","1,230","1,230","1,230","0,36K","-3,91%"
"03/08/2022","1,280","1,280","1,280","1,280","3,90K","-4,48%"
"02/08/2022","1,340","1,340","1,340","1,340","1,30K","-4,29%"
"01/08/2022","1,400","1,400","1,400","1,400","1,22K","-7,89%"
"27/07/2022","1,520","1,520","1,520","1,520","0,00K","-4,40%"
"26/07/2022","1,590","1,590","1,590","1,590","0,00K","-0,62%"
"22/07/2022","1,600","1,630","1,630","1,600","0,36K","-2,44%"
"21/07/2022","1,640","1,640","1,640","1,640","0,00K","3,80%"
"20/07/2022","1,580","1,580","1,580","1,580","0,00K","3,95%"
"19/07/2022","1,520","1,520","1,520","1,520","0,11K","-0,65%"
"18/07/2022","1,530","1,550","1,550","1,530","0,42K","-3,16%"
"15/07/2022","1,580","1,580","1,580","1,580","0,45K","-3,66%"
"14/07/2022","1,640","1,640","1,640","1,640","1,88K","-4,09%"
"11/07/2022","1,710","1,720","1,720","1,710","0,05K","-0,58%"
"08/07/2022","1,720","1,720","1,720","1,720","0,00K","4,24%"
"07/07/2022","1,650","1,650","1,650","1,650","0,00K","4,43%"
"06/07/2022","1,580","1,680","1,680","1,580","0,07K","-2,47%"
"05/07/2022","1,620","1,620","1,620","1,620","0,00K","0,62%"
"04/07/2022","1,610","1,610","1,610","1,610","0,01K","-0,62%"
"01/07/2022","1,620","1,620","1,620","1,620","0,08K","-0,61%"
"30/06/2022","1,630","1,630","1,630","1,630","0,00K","-4,12%"
"28/06/2022","1,700","1,700","1,700","1,700","0,00K","0,00%"
"27/06/2022","1,700","1,700","1,700","1,700","0,00K","0,00%"
"24/06/2022","1,700","1,700","1,700","1,700","0,00K","0,00%"
"23/06/2022","1,700","1,700","1,700","1,700","0,00K","2,41%"
"22/06/2022","1,660","1,660","1,660","1,660","0,01K","1,84%"
"21/06/2022","1,630","1,630","1,630","1,630","0,01K","4,49%"
"20/06/2022","1,560","1,560","1,560","1,560","2,06K","9,09%"
"15/06/2022","1,430","1,430","1,430","1,430","0,05K","0,00%"
"14/06/2022","1,430","1,430","1,430","1,430","0,09K","0,00%"
"10/06/2022","1,430","1,430","1,430","1,430","0,55K","-0,69%"
"09/06/2022","1,440","1,440","1,440","1,440","0,31K","-8,86%"
"08/06/2022","1,580","1,580","1,580","1,580","0,01K","3,27%"
"07/06/2022","1,530","1,530","1,530","1,530","0,02K","2,68%"
"06/06/2022","1,490","1,560","1,560","1,490","0,30K","-4,49%"
"03/06/2022","1,560","1,560","1,560","1,560","0,05K","1,30%"
"01/06/2022","1,540","1,540","1,540","1,540","3,97K","3,36%"
"31/05/2022","1,490","1,490","1,490","1,490","0,63K","-4,49%"
"30/05/2022","1,560","1,560","1,560","1,560","0,00K","4,00%"
"27/05/2022","1,500","1,500","1,500","1,500","0,00K","4,17%"
"26/05/2022","1,440","1,500","1,500","1,440","5,65K","-4,00%"
"25/05/2022","1,500","1,500","1,500","1,500","0,50K","0,00%"
"19/05/2022","1,500","1,500","1,500","1,500","1,00K","-9,64%"
"16/05/2022","1,660","1,660","1,660","1,660","0,00K","9,93%"
"12/05/2022","1,510","1,510","1,510","1,510","1,89K","0,00%"
"11/05/2022","1,510","1,580","1,580","1,510","3,06K","-4,43%"
"10/05/2022","1,580","1,720","1,720","1,580","1,22K","-4,24%"
"09/05/2022","1,650","1,720","1,720","1,650","2,07K","-4,07%"
"06/05/2022","1,720","1,720","1,720","1,720","1,07K","-4,44%"
"05/05/2022","1,800","1,800","1,800","1,800","3,70K","0,00%"
"04/05/2022","1,800","1,800","1,800","1,800","1,37K","2,27%"
"29/04/2022","1,760","1,760","1,760","1,760","0,13K","3,53%"
"28/04/2022","1,700","1,700","1,700","1,700","0,59K","4,29%"
"27/04/2022","1,630","1,630","1,630","1,630","1,04K","4,49%"
"26/04/2022","1,560","1,500","1,560","1,500","2,19K","1,96%"
"25/04/2022","1,530","1,560","1,560","1,530","0,11K","-1,92%"
"22/04/2022","1,560","1,700","1,700","1,560","0,11K","-8,24%"
"18/04/2022","1,700","1,700","1,700","1,700","7,56K","4,29%"
"15/04/2022","1,630","1,630","1,630","1,630","0,58K","-4,12%"
"12/04/2022","1,700","1,700","1,700","1,700","0,12K","8,97%"
"07/04/2022","1,560","1,560","1,560","1,560","0,93K","0,00%"
"06/04/2022","1,560","1,560","1,560","1,560","0,63K","-4,29%"
"05/04/2022","1,630","1,630","1,630","1,630","1,27K","-11,41%"
"30/03/2022","1,840","1,840","1,840","1,840","0,10K","-0,54%"
"17/03/2022","1,850","1,850","1,850","1,850","0,20K","0,54%"
"16/03/2022","1,840","1,760","1,840","1,760","2,95K","0,00%"
"15/03/2022","1,840","1,840","1,840","1,840","12,20K","-0,54%"
"11/03/2022","1,850","1,850","1,850","1,850","0,19K","0,00%"
"09/03/2022","1,850","1,850","1,850","1,850","2,32K","0,00%"
"03/03/2022","1,850","1,850","1,850","1,850","0,20K","0,54%"
"02/03/2022","1,840","1,840","1,840","1,840","0,08K","0,55%"
"01/03/2022","1,830","1,860","1,860","1,830","0,31K","1,67%"
"25/02/2022","1,800","1,800","1,800","1,800","0,00K","0,00%"
"24/02/2022","1,800","1,810","1,810","1,800","0,26K","0,00%"
"23/02/2022","1,800","1,810","1,810","1,800","0,60K","-0,55%"
"22/02/2022","1,810","1,810","1,810","1,810","0,63K","0,00%"
"21/02/2022","1,810","1,810","1,810","1,810","0,29K","0,00%"
"18/02/2022","1,810","1,810","1,810","1,810","0,97K","4,02%"
"17/02/2022","1,740","1,740","1,740","1,740","0,11K","4,19%"
"16/02/2022","1,670","1,670","1,670","1,670","0,40K","0,00%"
"15/02/2022","1,670","1,670","1,670","1,670","2,71K","4,37%"
"11/02/2022","1,600","1,600","1,600","1,600","0,51K","-3,61%"
"10/02/2022","1,660","1,660","1,660","1,660","0,30K","0,00%"
"09/02/2022","1,660","1,660","1,660","1,660","1,00K","-4,05%"
"07/02/2022","1,730","1,730","1,730","1,730","0,10K","-4,42%"
"04/02/2022","1,810","1,810","1,810","1,810","0,02K","-4,23%"
"02/02/2022","1,890","1,890","1,890","1,890","0,48K","-4,06%"
"31/01/2022","1,970","1,970","1,970","1,970","0,46K","-1,01%"
"26/01/2022","1,990","1,990","1,990","1,990","0,20K","-2,45%"
"25/01/2022","2,040","2,040","2,040","2,040","0,71K","-1,92%"
"20/01/2022","2,080","2,080","2,080","2,080","2,46K","-0,95%"
"18/01/2022","2,100","2,100","2,100","2,100","0,06K","0,00%"
"12/01/2022","2,100","2,100","2,100","2,100","24,50K","0,00%"
"10/01/2022","2,100","2,100","2,100","2,100","5,00K","-1,87%"
"06/01/2022","2,140","2,140","2,140","2,140","8,40K","-0,47%"
"05/01/2022","2,150","2,150","2,150","2,150","47,43K","-1,38%"
"31/12/2021","2,180","2,180","2,180","2,180","0,50K","0,00%"
"30/12/2021","2,180","2,180","2,180","2,180","4,74K","0,00%"
"29/12/2021","2,180","2,180","2,180","2,180","3,00K","0,00%"
"28/12/2021","2,180","2,180","2,180","2,180","3,00K","-0,46%"
"27/12/2021","2,190","2,190","2,190","2,190","3,00K","0,00%"
"24/12/2021","2,190","2,190","2,190","2,190","3,00K","1,86%"
"23/12/2021","2,150","2,100","2,150","2,100","6,79K","2,38%"
"22/12/2021","2,100","2,100","2,100","2,100","9,50K","0,96%"
"20/12/2021","2,080","2,080","2,080","2,080","1,20K","0,00%"
"14/12/2021","2,080","2,080","2,080","2,080","0,02K","0,00%"
"13/12/2021","2,080","2,080","2,080","2,080","0,05K","-0,48%"
"08/12/2021","2,090","2,090","2,090","2,090","0,60K","-1,88%"
"07/12/2021","2,130","2,130","2,130","2,130","3,48K","1,91%"
"06/12/2021","2,090","2,090","2,090","2,090","3,60K","1,46%"
"03/12/2021","2,060","2,060","2,060","2,060","5,84K","4,04%"
"02/12/2021","1,980","1,950","1,980","1,950","6,44K","4,21%"
"01/12/2021","1,900","1,900","1,900","1,900","2,15K","4,40%"
"30/11/2021","1,820","1,820","1,820","1,820","0,83K","4,00%"
"29/11/2021","1,750","1,720","1,750","1,720","1,18K","2,94%"
"24/11/2021","1,700","1,700","1,700","1,700","1,97K","-1,16%"
"23/11/2021","1,720","1,720","1,720","1,720","0,50K","-0,58%"
"22/11/2021","1,730","1,730","1,730","1,730","1,00K","0,00%"
"19/11/2021","1,730","1,720","1,730","1,720","1,50K","0,00%"
"17/11/2021","1,730","1,730","1,730","1,730","8,91K","-1,14%"
"16/11/2021","1,750","1,750","1,750","1,750","0,50K","0,57%"
"15/11/2021","1,740","1,740","1,740","1,740","0,15K","0,00%"
"12/11/2021","1,740","1,740","1,740","1,740","0,50K","0,00%"
"11/11/2021","1,740","1,740","1,740","1,740","5,50K","2,35%"
"08/11/2021","1,700","1,700","1,700","1,700","0,30K","0,00%"
"04/11/2021","1,700","1,700","1,700","1,700","0,20K","0,00%"
"03/11/2021","1,700","1,700","1,700","1,700","0,20K","0,00%"
"02/11/2021","1,700","1,700","1,700","1,700","0,04K","0,00%"
"14/10/2021","1,700","1,700","1,700","1,700","0,05K","-2,86%"
"30/09/2021","1,750","1,750","1,750","1,750","0,01K","0,00%"
"08/09/2021","1,750","1,750","1,750","1,750","0,04K","2,94%"
"26/08/2021","1,700","1,700","1,700","1,700","0,14K","1,19%"
"25/08/2021","1,680","1,680","1,680","1,680","0,10K","1,20%"
"23/08/2021","1,660","1,660","1,660","1,660","0,15K","0,00%"
"20/08/2021","1,660","1,660","1,660","1,660","3,70K","0,00%"
"19/08/2021","1,660","1,660","1,660","1,660","2,68K","0,00%"
"16/08/2021","1,660","1,660","1,660","1,660","0,02K","0,61%"
"06/08/2021","1,650","1,650","1,650","1,650","0,45K","0,00%"
"02/08/2021","1,650","1,650","1,650","1,650","0,00K","-2,94%"
"27/07/2021","1,700","1,700","1,700","1,700","1,04K","0,00%"
"22/07/2021","1,700","1,700","1,700","1,700","0,22K","-2,30%"
"19/07/2021","1,740","1,700","1,740","1,700","1,54K","2,35%"
"16/07/2021","1,700","1,700","1,700","1,700","0,96K","0,00%"
"14/07/2021","1,700","1,700","1,700","1,700","0,24K","2,41%"
"09/07/2021","1,660","1,660","1,660","1,660","0,30K","-2,92%"
"05/07/2021","1,710","1,710","1,710","1,710","0,36K","0,00%"
"30/06/2021","1,710","1,710","1,710","1,710","2,09K","0,00%"
"29/06/2021","1,710","1,700","1,710","1,700","0,73K","0,59%"
"28/06/2021","1,700","1,680","1,700","1,680","1,10K","1,19%"
"25/06/2021","1,680","1,680","1,680","1,680","0,19K","0,00%"
"23/06/2021","1,680","1,670","1,680","1,670","0,25K","3,07%"
"22/06/2021","1,630","1,630","1,630","1,630","0,20K","4,49%"
"21/06/2021","1,560","1,520","1,560","1,520","2,49K","8,33%"
"17/06/2021","1,440","1,440","1,440","1,440","0,05K","-2,70%"
"15/06/2021","1,480","1,480","1,480","1,480","0,21K","-2,63%"
"09/06/2021","1,520","1,520","1,520","1,520","0,60K","-1,94%"
"03/06/2021","1,550","1,570","1,570","1,550","0,11K","-0,64%"
"02/06/2021","1,560","1,560","1,560","1,560","0,09K","0,00%"
"01/06/2021","1,560","1,560","1,560","1,560","0,53K","0,00%"
"31/05/2021","1,560","1,560","1,560","1,560","0,05K","0,00%"
