"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"13/03/2023","0,27","0,27","0,27","0,27","1,10K","0,00%"
"10/03/2023","0,27","0,27","0,27","0,27","1,59K","-3,57%"
"09/03/2023","0,28","0,28","0,28","0,28","2,44K","3,70%"
"08/03/2023","0,27","0,27","0,27","0,27","5,32K","0,00%"
"06/03/2023","0,27","0,27","0,27","0,27","45,09K","8,00%"
"28/02/2023","0,25","0,25","0,25","0,25","20,59K","0,00%"
"22/02/2023","0,25","0,25","0,25","0,25","9,22K","-3,85%"
"21/02/2023","0,26","0,26","0,26","0,26","1,37K","0,00%"
"17/02/2023","0,26","0,26","0,26","0,26","19,91K","-3,70%"
"16/02/2023","0,27","0,27","0,27","0,27","7,21K","3,85%"
"15/02/2023","0,26","0,26","0,26","0,26","32,92K","4,00%"
"10/02/2023","0,25","0,25","0,25","0,25","8,00K","4,17%"
"09/02/2023","0,24","0,24","0,24","0,24","7,90K","4,35%"
"08/02/2023","0,23","0,23","0,23","0,23","19,17K","-4,17%"
"07/02/2023","0,24","0,24","0,24","0,24","36,44K","-7,69%"
"01/02/2023","0,26","0,26","0,26","0,26","5,24K","-10,34%"
"27/01/2023","0,29","0,29","0,29","0,29","3,83K","-3,33%"
"24/01/2023","0,30","0,30","0,30","0,30","17,31K","-3,23%"
"23/01/2023","0,31","0,31","0,31","0,31","19,47K","3,33%"
"20/01/2023","0,30","0,30","0,30","0,30","6,68K","3,45%"
"19/01/2023","0,29","0,29","0,29","0,29","51,12K","11,54%"
"10/01/2023","0,26","0,26","0,26","0,26","22,47K","8,33%"
"04/01/2023","0,24","0,24","0,24","0,24","32,28K","14,29%"
"30/12/2022","0,21","0,21","0,21","0,21","9,90K","5,00%"
"29/12/2022","0,20","0,20","0,20","0,20","34,00K","-9,09%"
"23/12/2022","0,22","0,22","0,22","0,22","17,04K","4,76%"
"22/12/2022","0,21","0,21","0,21","0,21","16,79K","5,00%"
"21/12/2022","0,20","0,20","0,20","0,20","22,02K","5,26%"
"20/12/2022","0,19","0,19","0,19","0,19","29,13K","5,56%"
"19/12/2022","0,18","0,18","0,18","0,18","79,70K","-10,00%"
"15/12/2022","0,20","0,20","0,20","0,20","89,23K","-4,76%"
"09/12/2022","0,21","0,21","0,21","0,21","93,95K","-8,70%"
"07/12/2022","0,23","0,23","0,23","0,23","40,69K","-11,54%"
"02/12/2022","0,26","0,26","0,26","0,26","14,45K","-7,14%"
"30/11/2022","0,28","0,28","0,28","0,28","34,79K","-12,50%"
"23/11/2022","0,32","0,32","0,32","0,32","8,69K","-3,03%"
"21/11/2022","0,33","0,33","0,33","0,33","2,74K","-2,94%"
"18/11/2022","0,34","0,34","0,34","0,34","4,75K","0,00%"
"17/11/2022","0,34","0,34","0,34","0,34","8,28K","3,03%"
"16/11/2022","0,33","0,33","0,33","0,33","23,23K","0,00%"
"15/11/2022","0,33","0,33","0,33","0,33","30,31K","3,13%"
"10/11/2022","0,32","0,32","0,32","0,32","27,93K","3,23%"
"09/11/2022","0,31","0,31","0,31","0,31","63,67K","3,33%"
"08/11/2022","0,30","0,30","0,30","0,30","17,89K","0,00%"
"07/11/2022","0,30","0,30","0,30","0,30","31,08K","-3,23%"
"04/11/2022","0,31","0,31","0,31","0,31","12,96K","0,00%"
"03/11/2022","0,31","0,31","0,31","0,31","6,80K","-8,82%"
"31/10/2022","0,34","0,34","0,34","0,34","62,82K","0,00%"
