"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","13,37","13,35","13,37","13,25","3,95K","0,15%"
"28/03/2023","13,35","13,25","13,38","13,22","8,79K","-0,30%"
"27/03/2023","13,39","13,22","13,39","13,21","2,53K","0,00%"
"24/03/2023","13,39","13,22","13,40","13,22","2,30K","0,30%"
"23/03/2023","13,35","13,40","13,40","13,25","3,49K","0,38%"
"22/03/2023","13,30","13,36","13,50","13,30","9,48K","-1,48%"
"21/03/2023","13,50","13,60","13,60","13,50","0,89K","-1,03%"
"17/03/2023","13,64","13,60","13,64","13,60","1,69K","0,00%"
"16/03/2023","13,64","13,65","13,65","13,60","1,08K","-0,07%"
"15/03/2023","13,65","13,50","13,65","13,50","3,30K","0,00%"
"14/03/2023","13,65","13,62","13,65","13,50","2,03K","0,07%"
"13/03/2023","13,64","13,65","13,65","13,50","2,64K","-0,07%"
"10/03/2023","13,65","13,78","13,78","13,40","9,24K","-0,36%"
"09/03/2023","13,70","13,77","13,78","13,60","7,46K","-0,51%"
"08/03/2023","13,77","13,78","13,80","13,52","2,02K","-0,07%"
"07/03/2023","13,78","13,80","13,80","13,70","5,52K","0,00%"
"06/03/2023","13,78","13,74","13,79","13,70","3,04K","-0,36%"
"03/03/2023","13,83","13,49","13,83","13,30","9,80K","2,52%"
"02/03/2023","13,49","13,16","13,49","13,15","21,76K","2,20%"
"01/03/2023","13,20","13,35","13,35","13,15","11,09K","-1,12%"
"28/02/2023","13,35","13,35","13,49","13,15","3,32K","0,00%"
"27/02/2023","13,35","13,50","13,50","13,12","6,26K","-1,11%"
"24/02/2023","13,50","13,50","13,56","13,35","6,03K","-0,44%"
"23/02/2023","13,56","13,69","13,69","13,16","6,65K","-0,88%"
"22/02/2023","13,68","13,81","13,81","13,47","5,73K","-1,23%"
"21/02/2023","13,85","13,81","13,88","13,80","12,21K","-0,22%"
"20/02/2023","13,88","13,88","13,88","13,80","2,54K","-0,14%"
"17/02/2023","13,90","13,89","13,90","13,80","4,71K","-0,36%"
"16/02/2023","13,95","13,90","13,95","13,80","9,30K","0,00%"
"15/02/2023","13,95","13,89","13,95","13,89","5,13K","-0,21%"
"14/02/2023","13,98","13,82","13,98","13,75","7,27K","-0,07%"
"13/02/2023","13,99","14,00","14,00","13,81","2,62K","-0,07%"
"10/02/2023","14,00","13,85","14,00","13,80","3,23K","0,00%"
"09/02/2023","14,00","14,09","14,09","13,91","4,97K","0,00%"
"08/02/2023","14,00","14,00","14,00","13,91","2,07K","0,00%"
"07/02/2023","14,00","14,28","14,28","13,90","4,75K","0,00%"
"06/02/2023","14,00","14,10","14,20","14,00","12,43K","-1,34%"
"03/02/2023","14,19","13,99","14,20","13,99","6,50K","2,09%"
"02/02/2023","13,90","13,80","14,09","13,42","47,38K","0,72%"
"01/02/2023","13,80","14,20","14,20","13,80","7,87K","-2,82%"
"31/01/2023","14,20","14,30","14,49","14,20","11,24K","-2,74%"
"30/01/2023","14,60","14,69","14,69","14,35","28,68K","-0,54%"
"27/01/2023","14,68","14,19","14,68","14,01","55,04K","5,46%"
"26/01/2023","13,92","13,19","13,92","13,15","39,63K","5,94%"
"25/01/2023","13,14","13,15","13,20","13,00","15,63K","0,00%"
"24/01/2023","13,14","13,15","13,15","13,00","10,13K","-0,08%"
"23/01/2023","13,15","13,20","13,20","13,00","9,91K","0,46%"
"20/01/2023","13,09","13,00","13,20","12,96","12,10K","0,69%"
