"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"20/01/2023","35,00","35,00","35,00","35,00","0,02K","0,00%"
"30/12/2022","35,00","35,00","35,00","35,00","0,16K","2,13%"
"14/12/2022","34,27","34,27","34,27","34,27","0,00K","0,00%"
"07/12/2022","34,27","34,27","34,27","34,27","0,01K","0,00%"
"05/12/2022","34,27","34,27","34,27","34,27","0,01K","0,00%"
"29/11/2022","34,27","34,27","34,27","34,27","0,10K","0,00%"
"28/11/2022","34,27","34,27","34,27","34,27","0,08K","0,00%"
"25/11/2022","34,27","34,27","34,27","34,27","0,02K","0,00%"
"24/11/2022","34,27","34,27","34,27","34,27","0,10K","0,00%"
"23/11/2022","34,27","34,27","34,27","34,27","0,10K","0,00%"
"22/11/2022","34,27","34,27","34,27","34,27","0,10K","0,00%"
"21/11/2022","34,27","34,27","34,27","34,27","0,10K","0,00%"
"18/11/2022","34,27","34,27","34,27","34,27","0,10K","0,00%"
"17/11/2022","34,27","34,27","34,27","34,27","0,05K","0,00%"
"16/11/2022","34,27","34,27","34,27","34,27","0,04K","0,00%"
"14/11/2022","34,27","34,27","34,27","34,27","0,02K","0,00%"
"09/11/2022","34,27","34,27","34,27","34,27","0,03K","0,00%"
"08/11/2022","34,27","34,27","34,27","34,27","0,07K","4,48%"
"07/11/2022","32,80","32,80","32,80","32,80","0,03K","0,00%"
"04/11/2022","32,80","32,80","32,80","32,80","0,03K","0,64%"
"03/11/2022","32,59","32,59","32,59","32,59","0,03K","-0,03%"
"01/11/2022","32,60","32,60","32,60","32,60","0,30K","0,52%"
"31/10/2022","32,43","32,43","32,43","32,43","0,05K","-0,03%"
"28/10/2022","32,44","32,44","32,44","32,44","0,05K","0,00%"
"27/10/2022","32,44","32,44","32,44","32,44","0,10K","0,00%"
"26/10/2022","32,44","32,44","32,44","32,44","0,11K","1,37%"
"25/10/2022","32,00","32,00","32,00","32,00","0,05K","2,27%"
"20/10/2022","31,29","31,29","31,29","31,29","0,01K","0,00%"
"19/10/2022","31,29","31,29","31,29","31,29","0,00K","9,25%"
"11/10/2022","28,64","29,10","29,10","28,64","0,01K","-4,47%"
"10/10/2022","29,98","29,98","29,98","29,98","0,01K","-12,85%"
"29/06/2022","34,40","34,40","34,40","34,40","0,10K","1,47%"
"27/06/2022","33,90","33,90","33,90","33,90","0,00K","2,73%"
"17/05/2022","33,00","33,00","33,00","33,00","0,02K","-2,94%"
"11/05/2022","34,00","34,00","34,00","34,00","0,08K","3,03%"
"10/05/2022","33,00","33,00","33,00","33,00","0,03K","-2,94%"
"16/03/2022","34,00","34,00","34,00","34,00","0,33K","0,00%"
"15/03/2022","34,00","34,00","34,00","34,00","0,06K","0,00%"
"10/02/2022","34,00","34,00","34,00","34,00","0,13K","0,03%"
"07/02/2022","33,99","33,99","33,99","33,99","0,27K","0,03%"
"04/02/2022","33,98","33,98","33,98","33,98","0,20K","0,00%"
"31/01/2022","33,98","33,98","33,98","33,98","0,02K","0,00%"
"27/01/2022","33,98","33,98","33,98","33,98","0,01K","-0,03%"
"25/01/2022","33,99","33,99","33,99","33,99","0,10K","0,00%"
"21/01/2022","33,99","33,99","33,99","33,99","0,50K","-2,89%"
"31/12/2021","35,00","36,00","36,00","35,00","0,15K","0,00%"
"30/12/2021","35,00","35,00","35,00","35,00","0,05K","1,45%"
"29/12/2021","34,50","34,50","34,50","34,50","0,19K","1,47%"
"28/12/2021","34,00","33,00","34,00","33,00","0,20K","4,84%"
"22/12/2021","32,43","32,43","32,43","32,43","0,10K","-6,00%"
"13/10/2021","34,50","34,48","34,50","34,48","0,16K","0,00%"
"27/07/2021","34,50","34,50","34,50","34,50","0,04K","-0,03%"
"25/06/2021","34,51","34,51","34,51","34,51","0,02K","-2,79%"
"18/06/2021","35,50","34,51","35,50","34,51","0,08K","2,87%"
"17/06/2021","34,51","34,51","34,51","34,51","0,96K","0,00%"
"15/06/2021","34,51","34,51","34,51","34,51","0,02K","-2,79%"
"09/06/2021","35,50","35,50","35,50","35,50","0,02K","0,00%"
"28/05/2021","35,50","35,50","35,50","35,50","0,02K","2,90%"
"25/05/2021","34,50","34,50","34,50","34,50","0,03K","0,00%"
"24/05/2021","34,50","34,50","34,50","34,50","0,10K","0,00%"
"21/05/2021","34,50","34,50","34,50","34,50","0,11K","0,00%"
"19/05/2021","34,50","34,50","34,50","34,50","0,05K","0,00%"
"18/05/2021","34,50","34,50","34,50","34,50","0,09K","0,00%"
"17/05/2021","34,50","34,50","34,50","34,50","0,04K","0,00%"
"10/05/2021","34,50","34,50","34,50","34,50","0,04K","0,00%"
"05/05/2021","34,50","34,50","34,50","34,50","0,01K","0,00%"
"30/04/2021","34,50","34,50","34,50","34,50","0,46K","0,00%"
"29/04/2021","34,50","34,50","34,50","34,50","0,61K","0,00%"
"28/04/2021","34,50","34,50","34,50","34,50","1,00K","0,00%"
"23/04/2021","34,50","34,50","34,50","34,50","1,00K","0,00%"
"21/04/2021","34,50","34,50","34,50","34,50","0,00K","0,00%"
"19/04/2021","34,50","34,50","34,50","34,50","0,80K","0,00%"
"07/04/2021","34,50","34,50","34,50","34,50","0,20K","0,00%"
"05/04/2021","34,50","34,50","34,50","34,50","0,01K","0,00%"
"30/03/2021","34,50","34,50","34,50","34,50","0,10K","0,00%"
"25/03/2021","34,50","34,50","34,50","34,50","0,13K","0,00%"
"23/03/2021","34,50","34,50","34,50","34,50","0,05K","0,00%"
"19/03/2021","34,50","34,50","34,50","34,50","0,17K","0,00%"
"17/03/2021","34,50","34,50","34,50","34,50","0,05K","0,00%"
"16/03/2021","34,50","34,50","34,50","34,50","0,15K","0,00%"
"11/03/2021","34,50","34,50","34,50","34,50","0,10K","-2,82%"
"05/03/2021","35,50","35,00","35,50","35,00","0,03K","-1,36%"
"03/03/2021","35,99","34,03","35,99","34,03","0,07K","1,04%"
"02/03/2021","35,62","35,62","35,62","35,62","0,00K","0,00%"
"01/03/2021","35,62","35,62","35,62","35,62","0,02K","2,98%"
"26/02/2021","34,59","33,59","34,59","33,58","0,09K","9,19%"
"25/02/2021","31,68","31,68","31,68","31,68","0,19K","0,00%"
"24/02/2021","31,68","31,21","31,68","31,21","0,05K","6,06%"
"23/02/2021","29,87","29,87","29,87","29,87","0,00K","3,00%"
"18/02/2021","29,00","29,00","29,00","28,23","0,10K","0,00%"
"17/02/2021","29,00","28,23","29,00","28,23","0,19K","2,73%"
"12/02/2021","28,23","28,23","28,23","28,23","0,00K","-2,99%"
"29/01/2021","29,10","29,25","29,25","29,10","0,20K","-3,00%"
"25/01/2021","30,00","30,00","30,00","30,00","0,12K","-0,40%"
"12/01/2021","30,12","31,05","31,05","30,12","0,02K","-5,90%"
"11/01/2021","32,01","32,01","32,01","32,01","0,01K","-3,00%"
"30/12/2020","33,00","33,10","33,10","33,00","0,01K","-6,25%"
"11/12/2020","35,20","35,20","35,20","35,20","0,00K","-8,76%"
"26/11/2020","38,58","38,58","38,58","38,58","0,54K","0,00%"
