"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"23/03/2023","1,670","1,670","1,670","1,670","0,02K","0,00%"
"22/03/2023","1,670","1,670","1,670","1,670","0,61K","0,00%"
"16/03/2023","1,670","1,670","1,670","1,670","0,11K","0,00%"
"08/03/2023","1,670","1,670","1,670","1,670","0,10K","0,00%"
"03/03/2023","1,670","1,670","1,670","1,670","1,18K","0,00%"
"23/02/2023","1,670","1,670","1,670","1,670","3,00K","-4,57%"
"02/02/2023","1,750","1,750","1,750","1,750","0,03K","-5,41%"
"26/01/2023","1,850","1,850","1,850","1,850","0,30K","0,00%"
"18/01/2023","1,850","1,850","1,850","1,850","0,10K","-0,54%"
"03/01/2023","1,860","1,860","1,860","1,860","0,74K","0,00%"
"29/12/2022","1,860","1,860","1,860","1,860","0,68K","0,00%"
"28/12/2022","1,860","1,860","1,860","1,860","0,50K","-0,53%"
"12/12/2022","1,870","1,870","1,870","1,870","1,08K","0,54%"
"30/11/2022","1,860","1,860","1,860","1,860","2,04K","0,00%"
"24/11/2022","1,860","1,860","1,860","1,860","1,34K","0,00%"
"23/11/2022","1,860","1,860","1,860","1,860","0,16K","0,00%"
"22/11/2022","1,860","1,860","1,860","1,860","0,10K","-0,53%"
"21/11/2022","1,870","1,870","1,870","1,870","1,66K","0,54%"
"18/11/2022","1,860","1,860","1,860","1,860","0,00K","0,00%"
"16/11/2022","1,860","1,860","1,860","1,860","0,50K","0,00%"
"01/11/2022","1,860","1,860","1,860","1,860","0,18K","0,00%"
"31/10/2022","1,860","1,860","1,860","1,860","0,00K","0,00%"
"26/10/2022","1,860","1,860","1,860","1,860","0,00K","0,00%"
"19/10/2022","1,860","1,860","1,860","1,860","3,00K","0,00%"
"18/10/2022","1,860","1,860","1,860","1,860","0,56K","0,00%"
"14/10/2022","1,860","1,860","1,860","1,860","0,76K","0,00%"
"13/10/2022","1,860","1,860","1,860","1,860","3,65K","0,00%"
"12/10/2022","1,860","1,860","1,860","1,860","0,11K","0,00%"
"05/10/2022","1,860","1,860","1,860","1,860","0,15K","0,00%"
"30/09/2022","1,860","1,860","1,860","1,860","2,54K","0,00%"
"29/09/2022","1,860","1,860","1,860","1,860","0,88K","0,00%"
"28/09/2022","1,860","1,860","1,860","1,860","0,45K","0,00%"
"22/09/2022","1,860","1,860","1,860","1,860","0,30K","0,00%"
"02/09/2022","1,860","1,860","1,860","1,860","0,10K","-2,62%"
"24/08/2022","1,910","1,910","1,910","1,910","0,01K","0,00%"
"17/08/2022","1,910","1,910","1,910","1,910","0,01K","-4,02%"
"15/08/2022","1,990","1,990","1,990","1,990","0,02K","4,74%"
"09/08/2022","1,900","1,900","1,900","1,900","0,50K","0,00%"
"29/07/2022","1,900","1,900","1,900","1,900","0,40K","0,00%"
"28/07/2022","1,900","1,900","1,900","1,900","0,01K","0,00%"
"26/07/2022","1,900","1,900","1,900","1,900","0,58K","0,00%"
"22/07/2022","1,900","1,870","1,900","1,870","0,94K","-0,52%"
"21/07/2022","1,910","1,910","1,910","1,910","0,01K","-16,96%"
"07/07/2022","2,300","2,300","2,300","2,300","51,00K","0,00%"
"05/07/2022","2,300","2,300","2,300","2,300","322,24K","12,20%"
"01/07/2022","2,050","2,050","2,050","2,050","0,40K","2,50%"
"29/06/2022","2,000","2,000","2,000","2,000","0,50K","5,26%"
"24/06/2022","1,900","1,900","1,900","1,900","0,20K","-4,04%"
"15/06/2022","1,980","1,980","1,980","1,980","0,24K","0,00%"
"01/06/2022","1,980","1,980","1,980","1,980","0,23K","4,21%"
"31/05/2022","1,900","1,900","1,900","1,900","0,40K","-2,56%"
"25/05/2022","1,950","1,950","1,950","1,950","0,00K","-4,41%"
"18/05/2022","2,040","2,040","2,040","2,040","1,00K","4,08%"
"09/05/2022","1,960","1,960","1,960","1,960","0,39K","-4,39%"
"29/04/2022","2,050","2,050","2,050","2,050","0,30K","2,50%"
"25/04/2022","2,000","2,000","2,000","2,000","1,50K","0,00%"
"15/04/2022","2,000","2,000","2,000","2,000","11,35K","-0,50%"
"13/04/2022","2,010","2,010","2,010","2,010","2,07K","0,00%"
"08/04/2022","2,010","2,010","2,010","2,010","16,58K","0,00%"
"21/03/2022","2,010","2,100","2,100","2,010","0,06K","-8,64%"
"10/03/2022","2,200","2,200","2,200","2,200","0,25K","4,76%"
"03/03/2022","2,100","2,100","2,100","2,100","","-12,50%"
"27/01/2022","2,400","2,400","2,400","2,400","0,04K","0,00%"
"26/01/2022","2,400","2,400","2,400","2,400","2,00K","0,00%"
"20/01/2022","2,400","2,400","2,400","2,400","0,05K","0,00%"
"18/01/2022","2,400","2,400","2,400","2,400","0,24K","-0,83%"
"14/01/2022","2,420","2,420","2,420","2,420","0,03K","0,00%"
"12/01/2022","2,420","2,420","2,420","2,420","0,00K","0,00%"
"11/01/2022","2,420","2,420","2,420","2,420","0,30K","3,86%"
"29/12/2021","2,330","2,330","2,330","2,330","0,44K","0,43%"
"27/12/2021","2,320","2,320","2,320","2,320","0,00K","-0,43%"
"07/12/2021","2,330","2,330","2,330","2,330","0,03K","0,00%"
"02/12/2021","2,330","2,330","2,330","2,330","0,00K","4,48%"
"15/11/2021","2,230","2,320","2,320","2,230","0,05K","-4,29%"
"05/11/2021","2,330","2,330","2,330","2,330","0,50K","0,00%"
"04/11/2021","2,330","2,330","2,330","2,330","0,08K","0,00%"
"03/11/2021","2,330","2,330","2,330","2,330","0,48K","0,00%"
"26/10/2021","2,330","2,330","2,330","2,330","0,36K","0,00%"
"20/10/2021","2,330","2,330","2,330","2,330","0,03K","4,48%"
"14/10/2021","2,230","2,230","2,230","2,230","0,90K","0,00%"
"11/10/2021","2,230","2,230","2,230","2,230","0,00K","0,45%"
"08/10/2021","2,220","2,220","2,220","2,220","0,00K","3,74%"
"04/10/2021","2,140","2,140","2,140","2,140","0,02K","0,47%"
"23/09/2021","2,130","2,130","2,130","2,130","0,01K","-0,93%"
"22/09/2021","2,150","2,150","2,150","2,150","0,03K","-2,27%"
"20/09/2021","2,200","2,200","2,200","2,200","0,29K","-0,90%"
"07/09/2021","2,220","2,220","2,220","2,220","0,01K","0,00%"
"01/09/2021","2,220","2,220","2,220","2,220","0,05K","-14,62%"
"16/08/2021","2,600","2,600","2,600","2,600","0,00K","0,00%"
"11/08/2021","2,600","2,600","2,600","2,600","0,02K","-4,41%"
"09/08/2021","2,720","2,650","2,720","2,650","2,00K","4,62%"
"06/08/2021","2,600","2,550","2,600","2,550","0,90K","0,78%"
"05/08/2021","2,580","2,510","2,580","2,510","0,88K","2,79%"
"04/08/2021","2,510","2,510","2,510","2,510","2,00K","-2,71%"
"03/08/2021","2,580","2,510","2,580","2,510","0,54K","8,86%"
"30/07/2021","2,370","2,440","2,440","2,370","0,51K","2,60%"
"28/07/2021","2,310","2,310","2,310","2,310","0,50K","0,00%"
"27/07/2021","2,310","2,370","2,370","2,310","0,50K","0,00%"
"26/07/2021","2,310","2,310","2,310","2,310","1,00K","2,21%"
"23/07/2021","2,260","2,260","2,260","2,260","1,00K","0,44%"
"19/07/2021","2,250","2,250","2,250","2,250","0,10K","0,00%"
"06/07/2021","2,250","2,250","2,250","2,250","0,05K","-1,75%"
"16/06/2021","2,290","2,290","2,290","2,290","0,37K","-2,97%"
"09/06/2021","2,360","2,360","2,360","2,360","0,56K","2,61%"
"08/06/2021","2,300","2,300","2,300","2,300","1,64K","0,00%"
"07/06/2021","2,300","2,300","2,300","2,300","1,47K","-4,17%"
"03/06/2021","2,400","2,300","2,400","2,300","0,55K","0,42%"
"02/06/2021","2,390","2,390","2,390","2,390","0,00K","2,14%"
"01/06/2021","2,340","2,300","2,340","2,300","2,90K","2,18%"
"31/05/2021","2,290","2,290","2,290","2,290","0,17K","2,69%"
"28/05/2021","2,230","2,230","2,230","2,230","0,03K","0,00%"
"24/05/2021","2,230","2,290","2,290","2,230","0,20K","0,00%"
"21/05/2021","2,230","2,230","2,230","2,230","0,48K","0,00%"
"18/05/2021","2,230","2,230","2,290","2,230","0,46K","0,00%"
"07/05/2021","2,230","2,230","2,230","2,230","0,01K","0,00%"
"06/05/2021","2,230","2,230","2,230","2,230","0,07K","0,00%"
"05/05/2021","2,230","2,230","2,230","2,230","0,13K","0,00%"
"04/05/2021","2,230","2,230","2,230","2,230","1,97K","0,90%"
"03/05/2021","2,210","2,210","2,210","2,210","0,00K","-1,34%"
"27/04/2021","2,240","2,240","2,240","2,240","0,60K","-3,45%"
"20/04/2021","2,320","2,320","2,320","2,320","1,19K","1,75%"
"19/04/2021","2,280","2,280","2,280","2,280","0,70K","-1,72%"
"16/04/2021","2,320","2,320","2,320","2,320","0,01K","-2,93%"
"15/04/2021","2,390","2,330","2,390","2,330","2,30K","5,29%"
"14/04/2021","2,270","2,270","2,270","2,270","0,35K","0,00%"
"13/04/2021","2,270","2,270","2,270","2,270","2,44K","-2,16%"
"12/04/2021","2,320","2,320","2,320","2,320","0,00K","-2,93%"
"08/04/2021","2,390","2,390","2,390","2,390","0,20K","-8,08%"
"05/04/2021","2,600","2,600","2,600","2,600","0,01K","-3,70%"
"02/04/2021","2,700","2,700","2,700","2,700","0,00K","2,66%"
"31/03/2021","2,630","2,640","2,640","2,630","0,03K","-2,59%"
"29/03/2021","2,700","2,700","2,700","2,700","10,35K","0,00%"
"26/03/2021","2,700","2,700","2,700","2,700","3,55K","-3,57%"
"25/03/2021","2,800","2,780","2,810","2,780","1,88K","3,70%"
"24/03/2021","2,700","2,640","2,700","2,640","1,21K","3,05%"
"23/03/2021","2,620","2,620","2,620","2,620","1,25K","4,38%"
"22/03/2021","2,510","2,440","2,510","2,440","0,02K","2,87%"
"19/03/2021","2,440","2,410","2,480","2,410","3,06K","3,39%"
"18/03/2021","2,360","2,360","2,360","2,360","1,02K","0,43%"
"17/03/2021","2,350","2,250","2,350","2,250","1,30K","4,44%"
"16/03/2021","2,250","2,250","2,250","2,250","0,07K","0,00%"
"15/03/2021","2,250","2,250","2,250","2,250","0,01K","0,00%"
"12/03/2021","2,250","2,250","2,250","2,250","0,00K","-2,60%"
"11/03/2021","2,310","2,310","2,310","2,310","0,22K","2,67%"
"10/03/2021","2,250","2,250","2,250","2,250","0,01K","-1,75%"
"08/03/2021","2,290","2,290","2,290","2,290","0,23K","0,00%"
"05/03/2021","2,290","2,290","2,290","2,290","0,01K","4,09%"
"04/03/2021","2,200","2,240","2,240","2,200","0,43K","-4,35%"
"03/03/2021","2,300","2,350","2,350","2,300","3,02K","0,00%"
"02/03/2021","2,300","2,240","2,300","2,240","0,01K","5,50%"
"26/02/2021","2,180","2,180","2,180","2,180","0,32K","0,00%"
"18/02/2021","2,180","2,180","2,180","2,180","0,00K","2,83%"
"15/02/2021","2,120","2,120","2,120","2,120","0,01K","-8,23%"
"27/01/2021","2,310","2,310","2,310","2,310","0,00K","2,67%"
"26/01/2021","2,250","2,250","2,250","2,250","0,01K","-4,26%"
"22/01/2021","2,350","2,350","2,350","2,350","0,01K","2,62%"
"21/01/2021","2,290","2,230","2,290","2,230","0,00K","5,53%"
"18/01/2021","2,170","2,170","2,170","2,170","770,01K","-8,05%"
"08/01/2021","2,360","2,360","2,360","2,360","32,03K","0,00%"
"07/01/2021","2,360","2,360","2,360","2,360","13,42K","0,00%"
"06/01/2021","2,360","2,360","2,360","2,360","18,27K","0,00%"
"05/01/2021","2,360","2,360","2,360","2,360","71,05K","0,00%"
"04/01/2021","2,360","2,360","2,360","2,360","70,53K","0,00%"
"31/12/2020","2,360","2,360","2,360","2,360","2,44K","0,00%"
"30/12/2020","2,360","2,360","2,360","2,360","0,18K","0,00%"
"29/12/2020","2,360","2,360","2,360","2,360","2,98M","0,00%"
"28/12/2020","2,360","2,360","2,360","2,360","104,63K","0,00%"
"25/12/2020","2,360","2,360","2,360","2,360","675,27K","0,00%"
"24/12/2020","2,360","2,360","2,360","2,360","258,75K","0,00%"
"23/12/2020","2,360","2,360","2,360","2,360","493,59K","0,00%"
"22/12/2020","2,360","2,360","2,360","2,360","17,39K","0,00%"
"21/12/2020","2,360","2,360","2,360","2,360","377,86K","0,00%"
"18/12/2020","2,360","2,360","2,360","2,360","34,68K","-0,42%"
"14/12/2020","2,370","2,370","2,370","2,370","0,06K","2,60%"
"11/12/2020","2,310","2,310","2,310","2,310","0,15K","0,00%"
"10/12/2020","2,310","2,310","2,310","2,310","0,14K","-4,15%"
"09/12/2020","2,410","2,410","2,410","2,410","0,08K","-0,82%"
"08/12/2020","2,430","2,430","2,430","2,430","0,05K","-4,33%"
"07/12/2020","2,540","2,540","2,540","2,540","0,10K","0,00%"
"04/12/2020","2,540","2,540","2,540","2,540","0,40K","1,20%"
"03/12/2020","2,510","2,510","2,510","2,510","1,00K","0,00%"
"02/12/2020","2,510","2,580","2,580","2,510","0,39K","0,00%"
"01/12/2020","2,510","2,510","2,510","2,510","0,00K","2,87%"
"24/11/2020","2,440","2,400","2,440","2,400","0,60K","3,83%"
"23/11/2020","2,350","2,350","2,350","2,350","0,14K","0,00%"
"19/11/2020","2,350","2,350","2,350","2,350","0,39K","0,00%"
"18/11/2020","2,350","2,400","2,400","2,350","0,57K","0,00%"
"17/11/2020","2,350","2,350","2,350","2,350","0,09K","-2,08%"
"16/11/2020","2,400","2,400","2,400","2,400","0,00K","1,69%"
"13/11/2020","2,360","2,360","2,360","2,360","0,20K","2,61%"
"12/11/2020","2,300","2,300","2,300","2,300","0,07K","2,22%"
"11/11/2020","2,250","2,250","2,250","2,250","0,04K","0,00%"
"10/11/2020","2,250","2,250","2,250","2,250","0,16K","2,27%"
"09/11/2020","2,200","2,200","2,200","2,200","0,38K","0,00%"
"06/11/2020","2,200","2,200","2,200","2,200","0,00K","1,38%"
"05/11/2020","2,170","2,110","2,170","2,110","0,13K","5,85%"
"03/11/2020","2,050","2,050","2,050","2,050","0,28K","0,00%"
"02/11/2020","2,050","2,050","2,050","2,050","0,30K","-2,84%"
"28/10/2020","2,110","2,110","2,110","2,110","0,15K","-4,09%"
"22/10/2020","2,200","2,140","2,200","2,140","0,13K","2,80%"
"21/10/2020","2,140","2,140","2,140","2,140","8,20K","-2,73%"
"20/10/2020","2,200","2,200","2,200","2,200","0,66K","-2,65%"
"14/10/2020","2,260","2,260","2,260","2,260","1,44K","4,15%"
"09/10/2020","2,170","2,170","2,170","2,170","2,75K","0,46%"
"08/10/2020","2,160","2,160","2,160","2,160","0,13K","1,89%"
"07/10/2020","2,120","2,120","2,120","2,120","0,55K","0,95%"
"05/10/2020","2,100","2,090","2,100","2,090","0,26K","0,00%"
"02/10/2020","2,100","2,100","2,100","2,100","3,00K","2,94%"
"01/10/2020","2,040","2,040","2,040","2,040","0,72K","-1,92%"
"30/09/2020","2,080","2,080","2,080","2,080","0,69K","2,46%"
"29/09/2020","2,030","2,030","2,030","2,030","85,15K","4,10%"
"25/09/2020","1,950","1,950","1,950","1,950","0,02K","0,00%"
"24/09/2020","1,950","1,950","1,950","1,950","1,38K","-2,50%"
"18/09/2020","2,000","2,000","2,000","2,000","0,01K","0,00%"
"17/09/2020","2,000","2,000","2,000","2,000","2,00K","0,00%"
"14/09/2020","2,000","2,000","2,000","2,000","0,90K","-0,50%"
"11/09/2020","2,010","2,010","2,010","2,010","1,23K","0,50%"
"09/09/2020","2,000","2,000","2,000","2,000","2,05K","-2,91%"
"04/09/2020","2,060","2,050","2,060","2,050","6,61K","-8,04%"
"02/09/2020","2,240","2,240","2,240","2,240","0,01K","2,28%"
"28/08/2020","2,190","2,190","2,190","2,190","0,10K","-2,67%"
"24/08/2020","2,250","2,250","2,250","2,250","0,03K","-2,60%"
"19/08/2020","2,310","2,310","2,310","2,310","0,00K","0,00%"
"12/08/2020","2,310","2,310","2,310","2,310","0,90K","0,43%"
"06/08/2020","2,300","2,300","2,300","2,300","0,10K","0,00%"
"05/08/2020","2,300","2,320","2,320","2,300","2,40K","-3,77%"
"27/07/2020","2,390","2,390","2,390","2,390","0,09K","7,17%"
"23/07/2020","2,230","2,230","2,230","2,230","0,23K","0,00%"
"22/07/2020","2,230","2,230","2,230","2,230","0,45K","0,00%"
"20/07/2020","2,230","2,230","2,230","2,230","9,42K","0,00%"
"17/07/2020","2,230","2,230","2,230","2,230","15,00K","0,00%"
"16/07/2020","2,230","2,230","2,230","2,230","0,70K","0,00%"
"14/07/2020","2,230","2,230","2,230","2,230","0,76K","0,00%"
"10/07/2020","2,230","2,230","2,230","2,230","5,32K","0,00%"
"09/07/2020","2,230","2,230","2,230","2,230","0,10K","0,00%"
"06/07/2020","2,230","2,230","2,230","2,230","5,51K","0,90%"
"03/07/2020","2,210","2,210","2,210","2,210","0,65K","1,84%"
"01/07/2020","2,170","2,170","2,170","2,170","0,01K","0,00%"
"30/06/2020","2,170","2,160","2,170","2,160","4,06K","3,33%"
"29/06/2020","2,100","2,100","2,100","2,100","0,20K","0,00%"
"25/06/2020","2,100","2,100","2,100","2,100","0,36K","0,00%"
"24/06/2020","2,100","2,100","2,100","2,100","8,73K","0,00%"
"23/06/2020","2,100","2,100","2,100","2,100","2,00K","-2,78%"
"19/06/2020","2,160","2,160","2,160","2,160","0,15K","0,00%"
