"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"22/03/2023","1,740","1,740","1,740","1,740","0,02K","4,19%"
"21/03/2023","1,670","1,670","1,670","1,670","0,60K","1,83%"
"17/03/2023","1,640","1,620","1,640","1,620","0,65K","4,46%"
"16/03/2023","1,570","1,520","1,570","1,520","2,87K","2,61%"
"15/03/2023","1,530","1,530","1,530","1,530","16,47K","-2,55%"
"14/03/2023","1,570","1,600","1,600","1,570","1,14K","-3,09%"
"13/03/2023","1,620","1,670","1,670","1,620","1,59K","-4,14%"
"10/03/2023","1,690","1,690","1,690","1,690","0,13K","-0,59%"
"09/03/2023","1,700","1,700","1,700","1,700","0,46K","0,00%"
"08/03/2023","1,700","1,700","1,700","1,700","1,02K","-1,16%"
"07/03/2023","1,720","1,720","1,720","1,720","0,97K","-2,82%"
"06/03/2023","1,770","1,770","1,770","1,770","0,30K","-1,67%"
"03/03/2023","1,800","1,800","1,800","1,800","0,00K","0,00%"
"02/03/2023","1,800","1,780","1,800","1,780","0,79K","-0,55%"
"01/03/2023","1,810","1,810","1,810","1,810","0,03K","0,56%"
"28/02/2023","1,800","1,840","1,840","1,800","0,94K","-2,17%"
"27/02/2023","1,840","1,840","1,840","1,840","0,00K","1,10%"
"24/02/2023","1,820","1,820","1,820","1,820","0,31K","-5,70%"
"16/02/2023","1,930","1,930","1,930","1,930","0,00K","0,52%"
"15/02/2023","1,920","1,920","1,920","1,920","0,10K","0,00%"
"14/02/2023","1,920","1,850","1,920","1,850","0,52K","-0,52%"
"13/02/2023","1,930","1,930","1,930","1,930","0,00K","4,32%"
"10/02/2023","1,850","1,850","1,850","1,850","0,17K","-4,15%"
"09/02/2023","1,930","1,930","1,930","1,930","0,08K","0,52%"
"08/02/2023","1,920","1,920","1,920","1,920","0,20K","-0,52%"
"06/02/2023","1,930","1,930","1,930","1,930","0,02K","0,52%"
"31/01/2023","1,920","1,920","1,920","1,920","0,00K","1,05%"
"30/01/2023","1,900","1,880","1,900","1,880","0,20K","1,06%"
"27/01/2023","1,880","1,880","1,880","1,880","0,04K","4,44%"
"26/01/2023","1,800","1,800","1,800","1,800","0,01K","3,45%"
"25/01/2023","1,740","1,740","1,740","1,740","1,29K","-3,33%"
"24/01/2023","1,800","1,800","1,800","1,800","0,00K","3,45%"
"23/01/2023","1,740","1,810","1,810","1,740","1,01K","0,00%"
"20/01/2023","1,740","1,740","1,740","1,740","0,29K","-4,40%"
"19/01/2023","1,820","1,750","1,820","1,750","1,34K","4,00%"
"18/01/2023","1,750","1,850","1,850","1,750","2,15K","-4,37%"
"17/01/2023","1,830","1,900","1,900","1,830","3,30K","-3,68%"
"16/01/2023","1,900","1,900","1,900","1,900","0,33K","-3,55%"
"13/01/2023","1,970","1,900","1,970","1,900","0,15K","-1,01%"
"11/01/2023","1,990","1,990","1,990","1,990","0,00K","4,19%"
"10/01/2023","1,910","1,910","1,910","1,910","3,31K","-11,57%"
"09/01/2023","2,160","2,160","2,160","2,160","0,01K","4,35%"
"06/01/2023","2,070","2,070","2,070","2,070","0,40K","4,02%"
"05/01/2023","1,990","1,900","1,990","1,900","2,00K","4,19%"
"04/01/2023","1,910","2,090","2,090","1,910","9,23K","-4,50%"
"03/01/2023","2,000","2,000","2,000","2,000","0,16K","-4,31%"
"02/01/2023","2,090","2,000","2,090","2,000","0,09K","-8,33%"
"16/12/2022","2,280","2,280","2,280","2,280","0,04K","0,00%"
"09/12/2022","2,280","2,280","2,280","2,280","0,76K","0,88%"
"08/12/2022","2,260","2,280","2,280","2,260","0,74K","3,20%"
"07/12/2022","2,190","2,190","2,190","2,190","27,18K","0,00%"
"05/12/2022","2,190","2,190","2,190","2,190","0,00K","0,46%"
"02/12/2022","2,180","2,180","2,180","2,180","0,18K","-0,46%"
"01/12/2022","2,190","2,190","2,190","2,190","0,20K","0,00%"
"29/11/2022","2,190","2,190","2,190","2,190","1,21K","0,00%"
"28/11/2022","2,190","2,190","2,190","2,190","0,65K","0,00%"
"25/11/2022","2,190","2,190","2,190","2,190","1,04K","-4,37%"
"24/11/2022","2,290","2,290","2,290","2,290","0,01K","0,00%"
"23/11/2022","2,290","2,290","2,290","2,290","0,01K","-12,26%"
"16/11/2022","2,610","2,610","2,610","2,610","0,01K","4,40%"
"15/11/2022","2,500","2,610","2,610","2,500","19,66K","0,00%"
"14/11/2022","2,500","2,500","2,500","2,500","1,56K","-4,21%"
"10/11/2022","2,610","2,610","2,610","2,610","0,23K","0,00%"
"08/11/2022","2,610","2,610","2,610","2,610","0,01K","4,40%"
"07/11/2022","2,500","2,500","2,500","2,500","0,49K","-4,21%"
"04/11/2022","2,610","2,610","2,610","2,610","0,20K","0,38%"
"03/11/2022","2,600","2,600","2,600","2,600","0,00K","0,39%"
"02/11/2022","2,590","2,720","2,720","2,590","0,30K","-5,13%"
"28/10/2022","2,730","2,730","2,730","2,730","0,01K","0,00%"
