"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","0,79","0,79","0,79","0,79","10,97K","-1,25%"
"28/03/2023","0,80","0,80","0,80","0,79","6,53K","1,27%"
"27/03/2023","0,79","0,79","0,80","0,78","4,01K","1,28%"
"24/03/2023","0,78","0,78","0,78","0,78","1,49K","-2,50%"
"23/03/2023","0,80","0,79","0,80","0,78","9,75K","0,00%"
"22/03/2023","0,80","0,79","0,80","0,79","4,03K","0,00%"
"21/03/2023","0,80","0,78","0,80","0,78","57,69K","0,00%"
"17/03/2023","0,80","0,80","0,80","0,80","0,01K","0,00%"
"16/03/2023","0,80","0,79","0,80","0,79","0,66K","1,27%"
"15/03/2023","0,79","0,80","0,80","0,78","2,45K","0,00%"
"14/03/2023","0,79","0,79","0,80","0,78","8,15K","-1,25%"
"13/03/2023","0,80","0,79","0,80","0,77","10,24K","-1,23%"
"10/03/2023","0,81","0,79","0,81","0,78","4,50K","1,25%"
"09/03/2023","0,80","0,79","0,80","0,79","0,56K","0,00%"
"08/03/2023","0,80","0,80","0,81","0,78","11,35K","-1,23%"
"07/03/2023","0,81","0,82","0,82","0,79","8,37K","0,00%"
"06/03/2023","0,81","0,81","0,82","0,81","6,01K","-1,22%"
"03/03/2023","0,82","0,82","0,82","0,80","5,83K","1,23%"
"02/03/2023","0,81","0,82","0,82","0,81","3,64K","-1,22%"
"01/03/2023","0,82","0,82","0,82","0,80","5,33K","0,00%"
"28/02/2023","0,82","0,81","0,82","0,81","17,78K","0,00%"
"27/02/2023","0,82","0,82","0,82","0,80","8,61K","0,00%"
"24/02/2023","0,82","0,82","0,82","0,80","6,46K","0,00%"
"23/02/2023","0,82","0,82","0,82","0,80","2,59K","0,00%"
"22/02/2023","0,82","0,81","0,82","0,80","1,17K","0,00%"
"21/02/2023","0,82","0,82","0,82","0,82","0,35K","0,00%"
"20/02/2023","0,82","0,83","0,83","0,80","1,06K","0,00%"
"17/02/2023","0,82","0,83","0,83","0,81","8,50K","-1,20%"
"16/02/2023","0,83","0,84","0,84","0,82","8,07K","-1,19%"
"15/02/2023","0,84","0,82","0,84","0,82","0,53K","0,00%"
"14/02/2023","0,84","0,84","0,84","0,83","16,57K","0,00%"
"13/02/2023","0,84","0,84","0,84","0,82","11,20K","2,44%"
"10/02/2023","0,82","0,84","0,84","0,82","2,11K","-1,20%"
"09/02/2023","0,83","0,83","0,83","0,83","0,65K","-1,19%"
"08/02/2023","0,84","0,84","0,84","0,82","29,12K","1,20%"
"07/02/2023","0,83","0,82","0,84","0,82","9,21K","-1,19%"
"06/02/2023","0,84","0,82","0,84","0,82","22,68K","3,70%"
"03/02/2023","0,81","0,81","0,81","0,80","5,42K","0,00%"
"02/02/2023","0,81","0,81","0,81","0,80","11,63K","0,00%"
"01/02/2023","0,81","0,80","0,81","0,79","32,89K","1,25%"
"31/01/2023","0,80","0,80","0,80","0,79","46,38K","1,27%"
"30/01/2023","0,79","0,80","0,80","0,78","3,44K","0,00%"
"27/01/2023","0,79","0,79","0,79","0,78","8,74K","0,00%"
"26/01/2023","0,79","0,80","0,80","0,78","42,20K","-1,25%"
"25/01/2023","0,80","0,79","0,80","0,79","16,17K","2,56%"
"24/01/2023","0,78","0,78","0,79","0,78","7,10K","0,00%"
"23/01/2023","0,78","0,78","0,78","0,76","5,57K","0,00%"
"20/01/2023","0,78","0,77","0,78","0,76","23,20K","0,00%"
"19/01/2023","0,78","0,77","0,78","0,77","1,41K","2,63%"
"18/01/2023","0,76","0,78","0,78","0,76","5,99K","-2,56%"
"17/01/2023","0,78","0,77","0,78","0,77","4,27K","0,00%"
"16/01/2023","0,78","0,79","0,79","0,76","24,79K","0,00%"
"13/01/2023","0,78","0,78","0,79","0,77","10,56K","1,30%"
"12/01/2023","0,77","0,79","0,79","0,77","15,93K","-1,28%"
"11/01/2023","0,78","0,79","0,79","0,77","8,20K","0,00%"
"10/01/2023","0,78","0,78","0,79","0,77","107,03K","0,00%"
"09/01/2023","0,78","0,78","0,79","0,77","67,55K","0,00%"
"06/01/2023","0,78","0,78","0,80","0,77","99,10K","-1,27%"
"05/01/2023","0,79","0,79","0,79","0,77","89,66K","1,28%"
"04/01/2023","0,78","0,80","0,80","0,78","65,03K","-1,27%"
"03/01/2023","0,79","0,79","0,80","0,78","15,01K","-1,25%"
"02/01/2023","0,80","0,82","0,82","0,78","29,98K","1,27%"
"30/12/2022","0,79","0,79","0,80","0,79","3,93K","0,00%"
"29/12/2022","0,79","0,80","0,80","0,78","32,06K","-1,25%"
"28/12/2022","0,80","0,79","0,80","0,79","17,14K","1,27%"
"27/12/2022","0,79","0,80","0,80","0,79","30,22K","0,00%"
"26/12/2022","0,79","0,80","0,81","0,79","201,51K","0,00%"
"23/12/2022","0,79","0,81","0,81","0,79","56,02K","-1,25%"
"22/12/2022","0,80","0,80","0,81","0,79","22,64K","0,00%"
"21/12/2022","0,80","0,80","0,81","0,80","22,31K","0,00%"
"20/12/2022","0,80","0,80","0,81","0,80","5,90K","1,27%"
"19/12/2022","0,79","0,79","0,81","0,79","29,53K","-2,47%"
"16/12/2022","0,81","0,81","0,81","0,80","3,09K","0,00%"
"15/12/2022","0,81","0,82","0,82","0,80","18,51K","-1,22%"
"14/12/2022","0,82","0,81","0,82","0,81","16,54K","1,23%"
"13/12/2022","0,81","0,81","0,81","0,80","26,57K","1,25%"
"12/12/2022","0,80","0,81","0,82","0,80","17,45K","-1,23%"
"09/12/2022","0,81","0,82","0,82","0,81","11,55K","-1,22%"
"08/12/2022","0,82","0,81","0,82","0,81","13,20K","0,00%"
"07/12/2022","0,82","0,81","0,82","0,81","26,49K","0,00%"
"06/12/2022","0,82","0,82","0,82","0,80","5,45K","0,00%"
"05/12/2022","0,82","0,82","0,82","0,82","3,30K","0,00%"
"02/12/2022","0,82","0,82","0,83","0,80","14,73K","0,00%"
"01/12/2022","0,82","0,82","0,82","0,80","7,93K","1,23%"
"30/11/2022","0,81","0,82","0,82","0,80","68,80K","-2,41%"
"28/11/2022","0,83","0,80","0,83","0,80","35,23K","0,00%"
"25/11/2022","0,83","0,82","0,83","0,81","11,73K","1,22%"
"24/11/2022","0,82","0,82","0,82","0,82","0,55K","0,00%"
"23/11/2022","0,82","0,83","0,83","0,81","52,39K","-1,20%"
"22/11/2022","0,83","0,83","0,84","0,81","12,02K","0,00%"
"21/11/2022","0,83","0,84","0,84","0,82","14,71K","0,00%"
"18/11/2022","0,83","0,83","0,84","0,82","45,89K","0,00%"
"17/11/2022","0,83","0,83","0,84","0,82","26,58K","0,00%"
"16/11/2022","0,83","0,83","0,84","0,82","32,81K","0,00%"
"15/11/2022","0,83","0,83","0,84","0,82","46,14K","1,22%"
"14/11/2022","0,82","0,80","0,83","0,80","65,26K","2,50%"
"11/11/2022","0,80","0,80","0,80","0,79","46,21K","0,00%"
"10/11/2022","0,80","0,81","0,81","0,80","7,29K","0,00%"
"09/11/2022","0,80","0,80","0,81","0,80","19,28K","0,00%"
"08/11/2022","0,80","0,80","0,81","0,79","38,76K","-1,23%"
"07/11/2022","0,81","0,80","0,82","0,79","108,73K","2,53%"
"04/11/2022","0,79","0,82","0,82","0,79","37,66K","-2,47%"
"03/11/2022","0,81","0,82","0,82","0,79","10,60K","0,00%"
"02/11/2022","0,81","0,81","0,82","0,81","3,10K","0,00%"
"01/11/2022","0,81","0,83","0,83","0,80","47,66K","-1,22%"
"31/10/2022","0,82","0,83","0,83","0,81","4,81K","-1,20%"
"28/10/2022","0,83","0,83","0,83","0,82","25,82K","1,22%"
"27/10/2022","0,82","0,82","0,82","0,80","16,57K","1,23%"
"26/10/2022","0,81","0,83","0,83","0,80","41,05K","0,00%"
"25/10/2022","0,81","0,82","0,83","0,80","77,78K","-2,41%"
"24/10/2022","0,83","0,82","0,83","0,80","35,38K","1,22%"
"21/10/2022","0,82","0,84","0,84","0,80","93,85K","1,23%"
"20/10/2022","0,81","0,82","0,84","0,80","96,48K","-2,41%"
"19/10/2022","0,83","0,82","0,83","0,81","84,33K","1,22%"
"18/10/2022","0,82","0,82","0,82","0,81","32,87K","0,00%"
"17/10/2022","0,82","0,83","0,83","0,82","48,35K","-1,20%"
"14/10/2022","0,83","0,83","0,83","0,82","57,22K","0,00%"
"13/10/2022","0,83","0,83","0,84","0,83","67,30K","0,00%"
"12/10/2022","0,83","0,84","0,84","0,82","39,16K","0,00%"
