"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"24/03/2023","8,40","8,20","8,40","8,20","0,04K","2,44%"
"17/03/2023","8,20","8,20","8,20","8,20","0,69K","0,00%"
"16/03/2023","8,20","8,20","8,20","8,20","0,21K","-1,09%"
"14/03/2023","8,29","8,29","8,29","8,29","0,01K","2,35%"
"10/03/2023","8,10","8,10","8,10","8,10","0,45K","-1,22%"
"08/03/2023","8,20","8,20","8,20","8,20","1,08K","0,12%"
"07/03/2023","8,19","8,19","8,19","8,19","0,20K","0,00%"
"06/03/2023","8,19","8,19","8,19","8,19","0,11K","3,15%"
"03/03/2023","7,94","7,94","7,94","7,94","0,60K","0,00%"
"24/02/2023","7,94","7,94","7,94","7,94","0,32K","0,00%"
"22/02/2023","7,94","7,94","7,94","7,94","3,60K","4,47%"
"16/02/2023","7,60","7,60","7,60","7,60","0,04K","-0,13%"
"14/02/2023","7,61","7,61","7,61","7,61","0,29K","0,00%"
"13/02/2023","7,61","7,61","7,61","7,61","0,12K","0,00%"
"10/02/2023","7,61","7,61","7,61","7,61","34,25K","0,13%"
"08/02/2023","7,60","7,60","7,60","7,60","0,08K","0,00%"
"07/02/2023","7,60","7,60","7,60","7,60","0,20K","0,00%"
"02/02/2023","7,60","7,60","7,60","7,60","0,57K","0,00%"
"01/02/2023","7,60","7,60","7,60","7,60","0,55K","0,00%"
"31/01/2023","7,60","7,60","7,60","7,60","1,03K","0,00%"
"30/01/2023","7,60","7,60","7,60","7,60","0,50K","0,00%"
"25/01/2023","7,60","7,60","7,60","7,60","0,20K","0,00%"
"19/01/2023","7,60","7,60","7,60","7,60","0,02K","0,00%"
"18/01/2023","7,60","7,60","7,60","7,60","0,09K","0,00%"
"17/01/2023","7,60","7,60","7,60","7,60","2,27K","0,00%"
"10/01/2023","7,60","7,60","7,60","7,60","0,83K","0,00%"
"09/01/2023","7,60","7,60","7,60","7,60","3,64K","0,00%"
"04/01/2023","7,60","7,60","7,60","7,60","0,02K","0,00%"
"03/01/2023","7,60","7,60","7,60","7,60","0,06K","0,00%"
"02/01/2023","7,60","7,60","7,60","7,60","0,71K","0,00%"
"30/12/2022","7,60","7,60","7,60","7,60","1,80K","0,00%"
"29/12/2022","7,60","7,60","7,60","7,60","0,07K","0,13%"
"27/12/2022","7,59","7,59","7,59","7,59","0,68K","-0,13%"
"22/12/2022","7,60","7,60","7,60","7,60","0,01K","0,13%"
"21/12/2022","7,59","7,59","7,59","7,59","11,00K","-0,13%"
"20/12/2022","7,60","7,60","7,60","7,60","2,54K","0,00%"
"15/12/2022","7,60","7,60","7,60","7,60","0,50K","0,00%"
"14/12/2022","7,60","7,60","7,60","7,60","1,24K","0,00%"
"13/12/2022","7,60","7,60","7,60","7,60","1,64K","-2,56%"
"12/12/2022","7,80","7,80","7,80","7,80","0,05K","2,63%"
"09/12/2022","7,60","7,60","7,60","7,60","0,60K","-2,56%"
"08/12/2022","7,80","7,80","7,80","7,80","0,03K","0,00%"
"07/12/2022","7,80","7,80","7,80","7,80","0,04K","0,00%"
"06/12/2022","7,80","7,80","7,80","7,80","0,10K","0,00%"
"05/12/2022","7,80","7,88","7,88","7,80","0,09K","-1,02%"
"02/12/2022","7,88","7,88","7,88","7,88","0,05K","0,00%"
"01/12/2022","7,88","7,88","7,88","7,88","0,04K","0,00%"
"30/11/2022","7,88","7,88","7,88","7,88","0,05K","0,00%"
"29/11/2022","7,88","7,88","7,88","7,88","0,59K","0,13%"
"28/11/2022","7,87","7,87","7,87","7,87","0,44K","0,00%"
"25/11/2022","7,87","7,87","7,87","7,87","0,08K","-0,13%"
"23/11/2022","7,88","7,88","7,88","7,88","0,02K","0,13%"
"22/11/2022","7,87","7,87","7,87","7,87","5,32K","-0,13%"
"21/11/2022","7,88","7,88","7,88","7,88","0,36K","-0,25%"
"16/11/2022","7,90","7,90","7,90","7,90","0,02K","0,00%"
"15/11/2022","7,90","7,90","7,90","7,90","0,10K","0,00%"
"11/11/2022","7,90","7,90","7,90","7,90","0,03K","0,00%"
"10/11/2022","7,90","7,90","7,90","7,90","0,20K","1,28%"
"09/11/2022","7,80","7,80","7,80","7,80","0,46K","0,00%"
"08/11/2022","7,80","7,80","7,80","7,80","0,43K","0,65%"
"03/11/2022","7,75","7,75","7,75","7,75","0,01K","-3,13%"
"31/10/2022","8,00","8,00","8,00","8,00","0,50K","0,00%"
"28/10/2022","8,00","8,00","8,00","8,00","0,01K","0,00%"
"27/10/2022","8,00","8,00","8,00","8,00","0,05K","0,00%"
"25/10/2022","8,00","8,00","8,00","8,00","0,40K","0,00%"
"21/10/2022","8,00","8,00","8,00","8,00","3,13K","0,00%"
"20/10/2022","8,00","8,00","8,00","8,00","0,64K","0,00%"
"19/10/2022","8,00","8,00","8,00","8,00","0,63K","0,00%"
"17/10/2022","8,00","8,00","8,00","8,00","0,06K","0,00%"
"13/10/2022","8,00","8,00","8,00","8,00","0,84K","0,00%"
"12/10/2022","8,00","8,00","8,00","8,00","0,49K","0,00%"
"11/10/2022","8,00","8,00","8,00","8,00","0,65K","0,00%"
"10/10/2022","8,00","8,00","8,00","8,00","0,60K","0,00%"
"07/10/2022","8,00","8,00","8,00","8,00","0,72K","0,00%"
"06/10/2022","8,00","8,00","8,00","8,00","0,60K","0,00%"
"05/10/2022","8,00","8,00","8,00","8,00","0,70K","0,00%"
"04/10/2022","8,00","8,00","8,00","8,00","0,52K","0,00%"
"03/10/2022","8,00","8,00","8,00","8,00","1,55K","0,00%"
"30/09/2022","8,00","8,00","8,00","8,00","0,66K","0,00%"
