"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","161,50","162,50","162,50","161,50","0,10K","0,00%"
"28/03/2023","161,50","160,00","161,50","160,00","0,04K","0,94%"
"27/03/2023","160,00","160,00","160,00","160,00","0,19K","0,63%"
"24/03/2023","159,00","159,00","159,00","159,00","0,53K","2,58%"
"23/03/2023","155,00","155,00","155,00","155,00","0,18K","0,00%"
"21/03/2023","155,00","155,00","155,00","155,00","0,01K","0,00%"
"16/03/2023","155,00","155,00","155,00","155,00","0,01K","0,65%"
"15/03/2023","154,00","152,00","154,00","152,00","0,07K","0,33%"
"14/03/2023","153,50","153,50","153,50","153,50","0,23K","0,00%"
"13/03/2023","153,50","153,50","153,50","153,50","0,20K","0,20%"
"08/03/2023","153,20","153,20","153,20","153,20","0,01K","0,79%"
"07/03/2023","152,00","152,00","152,00","152,00","0,01K","-0,78%"
"02/03/2023","153,20","153,20","153,20","153,20","0,00K","1,29%"
"01/03/2023","151,25","151,25","151,25","151,25","0,14K","-0,49%"
"28/02/2023","152,00","152,00","152,00","152,00","0,01K","0,00%"
"24/02/2023","152,00","152,00","152,00","152,00","0,06K","0,00%"
"23/02/2023","152,00","153,50","153,50","152,00","0,11K","-0,98%"
"16/02/2023","153,50","153,50","153,50","153,50","0,03K","-0,32%"
"13/02/2023","153,99","153,99","153,99","153,99","0,15K","-0,59%"
"01/02/2023","154,90","154,90","154,90","154,90","0,05K","0,00%"
"31/01/2023","154,90","149,00","154,90","149,00","0,15K","-0,06%"
"24/01/2023","155,00","155,00","155,00","155,00","0,00K","3,33%"
"23/01/2023","150,00","150,00","150,00","150,00","0,30K","-3,23%"
"20/01/2023","155,00","155,00","155,00","155,00","0,00K","0,00%"
"19/01/2023","155,00","155,00","155,00","155,00","2,01K","-0,64%"
"18/01/2023","156,00","156,00","156,00","156,00","0,00K","-0,06%"
"17/01/2023","156,10","156,00","156,10","156,00","0,04K","0,06%"
"16/01/2023","156,00","156,00","156,00","156,00","0,01K","0,00%"
"13/01/2023","156,00","156,00","156,00","156,00","0,14K","0,00%"
"11/01/2023","156,00","156,00","156,00","156,00","0,05K","0,00%"
"10/01/2023","156,00","159,00","159,00","156,00","0,13K","0,00%"
"09/01/2023","156,00","156,00","156,00","156,00","0,01K","0,00%"
"06/01/2023","156,00","156,00","156,00","156,00","0,01K","0,00%"
"05/01/2023","156,00","156,00","156,00","156,00","0,00K","1,96%"
"04/01/2023","153,00","153,00","153,00","153,00","0,30K","0,00%"
"03/01/2023","153,00","153,00","153,00","153,00","0,01K","-0,65%"
"02/01/2023","154,00","154,00","154,00","154,00","0,05K","0,00%"
"30/12/2022","154,00","165,00","165,00","154,00","1,93K","-3,75%"
"29/12/2022","160,00","160,00","160,00","160,00","2,20K","2,89%"
"28/12/2022","155,50","155,00","155,50","155,00","0,31K","0,97%"
"27/12/2022","154,00","154,00","154,00","154,00","0,22K","0,00%"
"26/12/2022","154,00","154,00","154,00","154,00","0,51K","0,00%"
"23/12/2022","154,00","154,00","154,00","154,00","0,82K","-0,65%"
"22/12/2022","155,00","155,00","155,00","155,00","0,18K","-0,58%"
"21/12/2022","155,90","155,90","155,90","155,90","0,20K","0,58%"
"16/12/2022","155,00","155,00","155,00","155,00","0,19K","0,00%"
"15/12/2022","155,00","155,00","155,00","155,00","0,47K","0,00%"
"14/12/2022","155,00","155,00","155,00","155,00","0,25K","-0,64%"
"13/12/2022","156,00","156,00","156,00","156,00","0,21K","0,00%"
"12/12/2022","156,00","156,00","156,00","156,00","0,07K","0,00%"
"09/12/2022","156,00","156,00","156,00","156,00","0,13K","0,00%"
"08/12/2022","156,00","157,00","157,00","156,00","0,37K","-0,95%"
"07/12/2022","157,50","157,50","157,50","157,50","0,13K","-0,32%"
"06/12/2022","158,00","158,00","158,00","158,00","0,09K","1,28%"
"05/12/2022","156,00","156,00","156,00","156,00","0,30K","1,30%"
"02/12/2022","154,00","154,00","154,00","154,00","127,61K","0,00%"
"01/12/2022","154,00","154,00","154,00","154,00","0,02K","0,00%"
"30/11/2022","154,00","154,00","154,00","154,00","0,17K","0,00%"
"29/11/2022","154,00","154,00","154,00","154,00","0,19K","0,00%"
"28/11/2022","154,00","154,00","154,00","154,00","0,01K","0,00%"
"25/11/2022","154,00","154,00","154,00","154,00","0,12K","0,00%"
"23/11/2022","154,00","154,00","154,00","154,00","0,74K","0,00%"
"22/11/2022","154,00","155,00","155,00","154,00","0,22K","-3,08%"
"21/11/2022","158,90","159,00","159,00","158,90","0,33K","-0,06%"
"18/11/2022","159,00","159,00","159,00","159,00","0,10K","1,27%"
"16/11/2022","157,00","161,99","161,99","157,00","0,19K","-1,26%"
"15/11/2022","159,00","162,00","162,00","159,00","0,38K","-1,85%"
"14/11/2022","162,00","169,90","169,90","162,00","0,24K","-1,26%"
"11/11/2022","164,06","160,00","164,06","160,00","4,32K","4,50%"
"10/11/2022","157,00","154,00","157,00","154,00","1,56K","3,22%"
"09/11/2022","152,10","152,00","152,10","152,00","1,80K","0,73%"
"08/11/2022","151,00","150,00","151,00","150,00","0,71K","0,67%"
"07/11/2022","150,00","150,05","150,05","150,00","1,14K","1,35%"
"04/11/2022","148,00","148,00","148,00","148,00","1,90K","2,07%"
"03/11/2022","145,00","145,00","145,00","145,00","1,57K","0,00%"
"02/11/2022","145,00","145,00","145,00","145,00","2,48K","2,79%"
"01/11/2022","141,07","141,07","141,07","141,07","1,42K","4,50%"
"31/10/2022","135,00","135,00","135,00","135,00","0,14K","3,85%"
"28/10/2022","130,00","129,50","130,00","129,50","0,35K","1,17%"
"26/10/2022","128,50","127,00","128,50","127,00","0,33K","1,98%"
