"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","13,79","13,80","13,89","13,79","15,45K","0,66%"
"28/03/2023","13,70","13,99","13,99","13,70","9,39K","-0,29%"
"27/03/2023","13,74","13,71","13,84","13,71","9,66K","-0,07%"
"24/03/2023","13,75","13,85","13,85","13,70","3,91K","0,07%"
"23/03/2023","13,74","13,75","13,75","13,74","4,68K","-0,07%"
"22/03/2023","13,75","13,61","13,82","13,61","9,09K","2,61%"
"21/03/2023","13,40","13,40","13,40","13,40","0,00K","0,00%"
"17/03/2023","13,40","13,40","13,40","13,40","0,40K","0,75%"
"13/03/2023","13,30","13,30","13,30","13,30","0,62K","0,00%"
"09/03/2023","13,30","13,30","13,30","13,30","0,45K","0,00%"
"08/03/2023","13,30","13,30","13,30","13,30","1,50K","-2,28%"
"07/03/2023","13,61","13,61","13,61","13,61","0,10K","0,00%"
"06/03/2023","13,61","13,61","13,61","13,61","0,01K","3,89%"
"03/03/2023","13,10","13,35","13,35","13,10","0,38K","-1,87%"
"24/02/2023","13,35","13,35","13,35","13,35","0,00K","1,14%"
"21/02/2023","13,20","13,20","13,20","13,20","0,50K","0,00%"
"17/02/2023","13,20","13,20","13,20","13,20","0,50K","1,46%"
"14/02/2023","13,01","13,01","13,01","13,01","0,01K","-3,41%"
"13/02/2023","13,47","13,48","13,48","13,47","0,84K","-0,07%"
"10/02/2023","13,48","13,48","13,48","13,48","0,36K","0,00%"
"09/02/2023","13,48","13,48","13,48","13,48","0,24K","0,00%"
"07/02/2023","13,48","13,48","13,48","13,48","0,01K","-1,96%"
"25/01/2023","13,75","12,90","13,75","12,90","0,06K","0,44%"
"23/01/2023","13,69","13,69","13,69","13,69","0,06K","0,00%"
"20/01/2023","13,69","13,60","13,70","13,60","1,09K","4,11%"
"17/01/2023","13,15","13,15","13,15","13,15","0,05K","-1,20%"
"16/01/2023","13,31","13,31","13,31","13,31","0,83K","-1,99%"
"11/01/2023","13,58","13,58","13,58","13,58","0,13K","0,00%"
"06/01/2023","13,58","13,58","13,58","13,58","0,12K","-0,07%"
"04/01/2023","13,59","13,01","13,59","13,01","0,49K","-0,07%"
"03/01/2023","13,60","13,65","13,65","13,59","1,19K","-0,73%"
"02/01/2023","13,70","13,70","13,70","13,70","0,08K","0,00%"
"22/12/2022","13,70","13,69","13,70","13,69","0,02K","-0,36%"
"13/12/2022","13,75","13,75","13,75","13,75","0,00K","0,36%"
"07/12/2022","13,70","13,70","13,70","13,16","0,15K","-0,44%"
"25/11/2022","13,76","13,30","13,80","13,25","23,20K","2,69%"
"24/11/2022","13,40","13,20","13,40","13,20","0,01K","0,00%"
"23/11/2022","13,40","13,30","13,40","13,30","0,13K","-2,55%"
"22/11/2022","13,75","13,49","13,75","13,49","0,03K","4,56%"
"21/11/2022","13,15","13,49","13,49","13,15","0,29K","-2,52%"
"18/11/2022","13,49","13,49","13,49","13,49","0,00K","3,13%"
"17/11/2022","13,08","13,20","13,24","13,08","0,21K","-1,21%"
"16/11/2022","13,24","13,24","13,24","13,24","0,00K","-0,45%"
"15/11/2022","13,30","13,30","13,30","13,30","0,00K","0,00%"
"14/11/2022","13,30","13,05","13,30","13,05","0,01K","1,92%"
"11/11/2022","13,05","13,15","13,15","13,05","0,76K","-0,76%"
"10/11/2022","13,15","13,15","13,29","13,15","0,49K","-1,13%"
"09/11/2022","13,30","13,20","13,30","13,20","0,16K","0,83%"
"08/11/2022","13,19","13,15","13,20","13,15","0,33K","0,92%"
"07/11/2022","13,07","13,11","13,30","13,07","0,10K","-0,23%"
"04/11/2022","13,10","13,10","13,11","13,10","0,54K","-1,50%"
"03/11/2022","13,30","13,10","13,30","13,10","0,75K","0,76%"
"02/11/2022","13,20","13,20","13,20","13,10","0,02K","-0,38%"
"01/11/2022","13,25","13,25","13,25","13,25","0,01K","0,00%"
"31/10/2022","13,25","13,25","13,25","13,25","0,01K","1,07%"
"28/10/2022","13,11","13,11","13,30","13,10","0,52K","-0,68%"
