"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"29/03/2023","0,27","0,27","0,27","0,27","0,30K","0,00%"
"28/03/2023","0,27","0,27","0,27","0,27","5,89K","-3,57%"
"27/03/2023","0,28","0,28","0,28","0,28","2,00K","0,00%"
"23/03/2023","0,28","0,28","0,28","0,28","0,10K","3,70%"
"22/03/2023","0,27","0,27","0,27","0,27","9,47K","3,85%"
"21/03/2023","0,26","0,26","0,26","0,26","3,00K","-7,14%"
"16/03/2023","0,28","0,28","0,28","0,28","13,49K","-6,67%"
"14/03/2023","0,30","0,30","0,30","0,30","25,90K","-6,25%"
"10/03/2023","0,32","0,32","0,32","0,32","31,29K","-3,03%"
"09/03/2023","0,33","0,33","0,33","0,33","2,65K","-2,94%"
"06/03/2023","0,34","0,34","0,34","0,34","1,87K","3,03%"
"03/03/2023","0,33","0,33","0,33","0,33","69,07K","-8,33%"
"28/02/2023","0,36","0,36","0,36","0,36","0,45K","0,00%"
"27/02/2023","0,36","0,36","0,36","0,36","10,67K","2,86%"
"24/02/2023","0,35","0,35","0,35","0,35","9,16K","2,94%"
"23/02/2023","0,34","0,34","0,34","0,34","18,46K","-8,11%"
"20/02/2023","0,37","0,37","0,37","0,37","9,40K","-2,63%"
"17/02/2023","0,38","0,38","0,38","0,38","109,14K","-5,00%"
"15/02/2023","0,40","0,40","0,40","0,40","18,14K","-2,44%"
"14/02/2023","0,41","0,41","0,41","0,41","0,80K","0,00%"
"13/02/2023","0,41","0,41","0,41","0,41","1,65K","0,00%"
"10/02/2023","0,41","0,41","0,41","0,41","42,19K","2,50%"
"09/02/2023","0,40","0,40","0,40","0,40","55,37K","2,56%"
"06/02/2023","0,39","0,39","0,39","0,39","8,18K","5,41%"
"02/02/2023","0,37","0,37","0,37","0,37","19,62K","2,78%"
"01/02/2023","0,36","0,36","0,36","0,36","66,34K","-2,70%"
"31/01/2023","0,37","0,37","0,37","0,37","10,47K","2,78%"
"30/01/2023","0,36","0,36","0,36","0,36","21,00K","-2,70%"
"27/01/2023","0,37","0,37","0,37","0,37","12,86K","-2,63%"
"26/01/2023","0,38","0,38","0,38","0,38","3,56K","2,70%"
"24/01/2023","0,37","0,37","0,37","0,37","1,00K","-5,13%"
"18/01/2023","0,39","0,39","0,39","0,39","2,03K","0,00%"
"16/01/2023","0,39","0,39","0,39","0,39","1,00K","0,00%"
"13/01/2023","0,39","0,39","0,39","0,39","27,95K","2,63%"
"12/01/2023","0,38","0,38","0,38","0,38","1,23K","-2,56%"
"11/01/2023","0,39","0,39","0,39","0,39","1,91K","2,63%"
"10/01/2023","0,38","0,38","0,38","0,38","0,20K","-2,56%"
"09/01/2023","0,39","0,39","0,39","0,39","7,48K","0,00%"
"06/01/2023","0,39","0,39","0,39","0,39","5,90K","2,63%"
"04/01/2023","0,38","0,38","0,38","0,38","3,65K","-2,56%"
"03/01/2023","0,39","0,39","0,39","0,39","4,62K","0,00%"
"02/01/2023","0,39","0,39","0,39","0,39","1,33K","0,00%"
"30/12/2022","0,39","0,39","0,39","0,39","0,09K","0,00%"
"29/12/2022","0,39","0,39","0,39","0,39","8,25K","0,00%"
"28/12/2022","0,39","0,39","0,39","0,39","14,32K","-4,88%"
"23/12/2022","0,41","0,41","0,41","0,41","1,59K","0,00%"
"22/12/2022","0,41","0,41","0,41","0,41","0,11K","2,50%"
"21/12/2022","0,40","0,40","0,40","0,40","11,69K","-2,44%"
"20/12/2022","0,41","0,41","0,41","0,41","4,02K","-2,38%"
"19/12/2022","0,42","0,42","0,42","0,42","2,98K","-2,33%"
