"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"24/03/2023","22,00","22,00","22,00","22,00","0,22K","0,00%"
"14/03/2023","22,00","22,00","22,00","22,00","0,41K","0,00%"
"13/03/2023","22,00","22,00","22,00","22,00","0,30K","0,00%"
"01/03/2023","22,00","22,00","22,00","22,00","0,03K","0,00%"
"20/02/2023","22,00","22,00","22,00","22,00","1,92K","-4,35%"
"15/02/2023","23,00","23,00","23,00","23,00","0,03K","0,00%"
"10/02/2023","23,00","23,00","23,00","23,00","1,44K","0,00%"
"09/02/2023","23,00","23,00","23,00","23,00","0,01K","0,00%"
"08/02/2023","23,00","23,00","23,00","23,00","0,02K","0,00%"
"07/02/2023","23,00","23,00","23,00","23,00","0,01K","4,55%"
"26/01/2023","22,00","22,00","22,00","22,00","0,17K","-1,35%"
"25/01/2023","22,30","22,30","22,30","22,30","0,10K","-3,04%"
"18/01/2023","23,00","23,00","23,00","23,00","1,22K","-2,17%"
"17/01/2023","23,51","23,51","23,51","23,51","0,02K","6,82%"
"10/01/2023","22,01","22,00","22,01","22,00","0,04K","0,05%"
"05/01/2023","22,00","22,00","22,00","22,00","10,17K","0,00%"
"28/12/2022","22,00","22,00","22,00","22,00","250,11K","-4,26%"
"21/12/2022","22,98","22,98","22,98","22,98","0,20K","4,45%"
"20/12/2022","22,00","22,00","22,00","22,00","0,05K","0,14%"
"16/12/2022","21,97","21,97","21,97","21,97","0,01K","0,00%"
"09/12/2022","21,97","21,97","21,97","21,97","0,04K","-4,48%"
"01/12/2022","23,00","23,00","23,00","23,00","0,25K","0,00%"
"30/11/2022","23,00","23,00","23,00","23,00","1,74K","0,00%"
"24/11/2022","23,00","23,00","23,00","23,00","0,01K","3,14%"
"22/11/2022","22,30","22,30","22,30","22,30","0,02K","0,00%"
"18/11/2022","22,30","22,30","22,30","22,30","1,00K","-0,09%"
"15/11/2022","22,32","22,32","22,32","22,32","3,34K","0,09%"
"10/11/2022","22,30","22,30","22,30","22,30","0,66K","0,00%"
"09/11/2022","22,30","22,30","22,30","22,30","0,46K","-0,22%"
"07/11/2022","22,35","22,35","22,35","22,35","0,11K","0,22%"
"03/11/2022","22,30","22,30","22,30","22,30","0,02K","0,00%"
"01/11/2022","22,30","22,30","22,30","22,30","0,10K","0,00%"
"31/10/2022","22,30","22,30","22,30","22,30","0,44K","0,00%"
"26/10/2022","22,30","22,30","22,30","22,30","0,50K","0,00%"
"25/10/2022","22,30","22,30","22,30","22,30","0,45K","-0,89%"
"21/10/2022","22,50","22,50","22,50","22,50","0,25K","-2,39%"
"17/10/2022","23,05","23,05","23,05","23,05","0,14K","-0,17%"
"12/10/2022","23,09","23,09","23,09","23,09","0,39K","-0,04%"
"04/10/2022","23,10","23,10","23,10","23,10","0,02K","0,43%"
"03/10/2022","23,00","23,00","23,00","23,00","0,22K","3,84%"
"30/09/2022","22,15","22,16","22,16","22,15","0,12K","4,43%"
"21/09/2022","21,21","21,21","21,21","21,21","0,26K","0,00%"
"13/09/2022","21,21","21,21","21,21","21,21","0,20K","0,00%"
"07/09/2022","21,21","21,21","21,21","21,21","0,01K","-4,03%"
"06/09/2022","22,10","22,10","22,10","22,10","0,05K","0,00%"
"05/09/2022","22,10","22,10","22,10","22,10","4,53K","0,00%"
"02/09/2022","22,10","22,10","22,10","22,10","2,15K","0,00%"
"01/09/2022","22,10","22,10","22,10","22,10","2,43K","0,00%"
"30/08/2022","22,10","22,10","22,10","22,10","1,94K","0,00%"
"26/08/2022","22,10","22,10","22,10","22,10","0,01K","0,00%"
"25/08/2022","22,10","22,10","22,10","22,10","0,02K","0,00%"
"24/08/2022","22,10","22,10","22,10","22,10","0,01K","0,00%"
"23/08/2022","22,10","22,10","22,10","22,10","0,01K","0,00%"
"18/08/2022","22,10","22,10","22,10","22,10","0,01K","0,00%"
"12/08/2022","22,10","22,10","22,10","22,10","0,30K","0,00%"
"04/08/2022","22,10","22,10","22,10","22,10","0,22K","0,00%"
"03/08/2022","22,10","22,10","22,10","22,10","1,00K","0,27%"
"27/07/2022","22,04","22,04","22,04","22,04","0,01K","4,45%"
"19/07/2022","21,10","21,10","21,10","21,10","0,78K","-4,05%"
"04/07/2022","21,99","21,99","21,99","21,99","0,00K","0,69%"
"28/06/2022","21,84","21,84","21,84","21,84","0,02K","9,20%"
"20/06/2022","20,00","20,00","20,00","20,00","25,00K","0,00%"
"17/06/2022","20,00","20,00","20,00","20,00","0,01K","0,00%"
"10/06/2022","20,00","20,00","20,00","20,00","0,01K","-0,25%"
"09/06/2022","20,05","20,05","20,05","20,05","0,09K","0,00%"
"07/06/2022","20,05","20,05","20,05","20,05","1,40K","0,00%"
"03/06/2022","20,05","20,05","20,05","20,05","0,75K","0,25%"
"26/05/2022","20,00","20,00","20,00","20,00","0,23K","-2,44%"
"23/05/2022","20,50","20,50","20,50","20,50","0,09K","0,00%"
"20/05/2022","20,50","20,50","20,50","20,50","0,00K","0,00%"
"19/05/2022","20,50","20,40","20,50","20,40","0,51K","0,00%"
"17/05/2022","20,50","21,34","21,34","20,50","0,16K","-3,98%"
"13/05/2022","21,35","21,35","21,35","21,35","0,03K","0,00%"
"12/05/2022","21,35","21,35","21,35","21,35","0,00K","0,00%"
"11/05/2022","21,35","21,35","21,35","21,35","0,02K","-3,39%"
"05/05/2022","22,10","22,10","22,10","22,10","0,01K","0,00%"
"22/04/2022","22,10","22,09","22,10","22,09","11,07K","0,00%"
"21/04/2022","22,10","22,10","22,10","22,10","0,25K","0,00%"
"20/04/2022","22,10","22,10","22,10","22,10","0,25K","-0,14%"
"18/04/2022","22,13","22,13","22,13","22,13","0,04K","0,18%"
"14/04/2022","22,09","22,09","22,09","22,09","1,69K","-0,05%"
"11/04/2022","22,10","22,10","22,10","22,10","0,02K","0,00%"
"06/04/2022","22,10","22,10","22,10","22,10","0,06K","0,36%"
"22/03/2022","22,02","22,02","22,02","22,02","1,69K","0,00%"
"21/03/2022","22,02","22,01","22,02","22,01","1,70K","0,05%"
"17/03/2022","22,01","22,01","22,01","22,01","0,00K","0,00%"
"16/03/2022","22,01","22,00","22,01","22,00","0,04K","0,05%"
"10/03/2022","22,00","22,00","22,00","22,00","0,02K","-0,05%"
"09/03/2022","22,01","22,01","22,01","22,01","0,01K","0,00%"
"07/03/2022","22,01","22,01","22,01","22,01","1,69K","0,00%"
"04/03/2022","22,01","22,01","22,01","22,01","1,69K","0,00%"
"03/03/2022","22,01","22,01","22,01","22,01","","0,09%"
"02/03/2022","21,99","21,99","21,99","21,99","0,84K","-0,05%"
"01/03/2022","22,00","22,00","22,00","22,00","0,25K","0,00%"
"28/02/2022","22,00","22,00","22,00","22,00","0,02K","0,00%"
"25/02/2022","22,00","22,00","22,00","22,00","0,05K","-1,12%"
"23/02/2022","22,25","22,25","22,25","22,25","0,39K","0,00%"
"16/02/2022","22,25","22,25","22,25","22,25","0,01K","0,14%"
"14/02/2022","22,22","22,22","22,22","22,22","0,02K","0,05%"
"09/02/2022","22,21","22,21","22,21","22,21","5,07K","0,05%"
"08/02/2022","22,20","22,20","22,20","22,20","0,01K","4,47%"
"07/02/2022","21,25","21,25","21,25","21,25","0,90K","0,19%"
"02/02/2022","21,21","21,00","21,21","21,00","0,01K","1,00%"
"31/01/2022","21,00","21,00","21,00","21,00","6,40K","-6,67%"
"26/01/2022","22,50","22,50","22,50","22,50","0,02K","2,55%"
"24/01/2022","21,94","21,94","21,94","21,94","0,06K","4,48%"
"21/01/2022","21,00","21,00","21,00","21,00","0,00K","2,44%"
"19/01/2022","20,50","20,50","20,50","20,50","0,05K","0,00%"
"06/01/2022","20,50","20,50","20,50","20,50","0,00K","3,54%"
"29/12/2021","19,80","19,80","19,80","19,80","0,02K","0,51%"
"27/12/2021","19,70","19,70","19,70","19,70","1,09K","-2,96%"
"24/12/2021","20,30","20,30","20,30","20,30","0,40K","0,25%"
"21/12/2021","20,25","20,25","20,25","20,25","2,21K","0,75%"
"16/12/2021","20,10","20,10","20,10","20,10","0,03K","0,00%"
"14/12/2021","20,10","20,10","20,10","20,10","0,10K","0,40%"
"10/12/2021","20,02","20,02","20,02","20,02","0,09K","0,05%"
"08/12/2021","20,01","20,01","20,01","20,01","0,47K","1,32%"
"29/11/2021","19,75","19,75","19,75","19,75","0,10K","0,92%"
"24/11/2021","19,57","19,57","19,57","19,57","0,10K","0,36%"
"22/11/2021","19,50","20,00","20,00","19,50","0,11K","-2,50%"
"17/11/2021","20,00","20,00","20,00","20,00","0,24K","0,00%"
"16/11/2021","20,00","20,00","20,00","20,00","4,53K","2,51%"
"12/11/2021","19,51","19,51","19,51","19,51","0,10K","0,00%"
"10/11/2021","19,51","19,51","19,51","19,51","0,10K","-2,45%"
"09/11/2021","20,00","20,00","20,00","20,00","1,60K","2,51%"
"08/11/2021","19,51","19,51","19,51","19,51","0,10K","0,05%"
"04/11/2021","19,50","19,50","19,50","19,50","0,10K","0,00%"
"03/11/2021","19,50","19,50","19,50","19,50","0,10K","0,00%"
"02/11/2021","19,50","19,50","19,50","19,50","0,10K","0,00%"
"01/11/2021","19,50","19,50","19,50","19,50","0,03K","-0,20%"
"28/10/2021","19,54","19,54","19,54","19,54","0,10K","-0,31%"
"27/10/2021","19,60","19,60","19,60","19,60","0,14K","0,36%"
"26/10/2021","19,53","19,53","19,53","19,53","0,10K","0,00%"
"25/10/2021","19,53","19,53","19,53","19,53","0,10K","-0,36%"
"22/10/2021","19,60","19,60","19,60","19,60","0,10K","0,05%"
"21/10/2021","19,59","19,59","19,59","19,59","10,68K","0,05%"
"20/10/2021","19,58","19,58","19,58","19,58","0,11K","0,00%"
"19/10/2021","19,58","19,58","19,58","19,58","0,11K","0,05%"
"11/10/2021","19,57","19,51","19,57","19,51","0,10K","-2,15%"
"08/10/2021","20,00","20,00","20,00","20,00","0,10K","0,00%"
"07/10/2021","20,00","20,00","20,00","20,00","0,10K","0,00%"
