"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"16/12/2009","1,3111","1,3087","1,3131","1,3035","","0,20%"
"15/12/2009","1,3085","1,3000","1,3138","1,2996","","0,36%"
"14/12/2009","1,3038","1,3035","1,3098","1,2971","","0,27%"
"11/12/2009","1,3003","1,2969","1,3114","1,2905","","0,08%"
"10/12/2009","1,2992","1,2960","1,3019","1,2829","","0,12%"
"09/12/2009","1,2976","1,2977","1,3035","1,2926","","-0,08%"
"08/12/2009","1,2986","1,2919","1,3028","1,2865","","0,38%"
"07/12/2009","1,2937","1,2941","1,3017","1,2821","","0,02%"
"04/12/2009","1,2935","1,2781","1,2984","1,2713","","1,20%"
"03/12/2009","1,2782","1,2797","1,2814","1,2594","","-0,18%"
"02/12/2009","1,2805","1,2751","1,2818","1,2691","","0,38%"
"01/12/2009","1,2757","1,2797","1,2842","1,2684","","-0,42%"
"30/11/2009","1,2811","1,2770","1,2858","1,2704","","-0,22%"
"27/11/2009","1,2839","1,2785","1,2969","1,2717","","0,26%"
"26/11/2009","1,2806","1,2687","1,2866","1,2682","","0,55%"
"25/11/2009","1,2736","1,2832","1,2846","1,2679","","-0,83%"
"24/11/2009","1,2842","1,2831","1,2898","1,2784","","0,06%"
"23/11/2009","1,2834","1,2874","1,2918","1,2775","","-0,40%"
"20/11/2009","1,2886","1,2813","1,2955","1,2803","","0,42%"
"19/11/2009","1,2832","1,2825","1,2943","1,2800","","-0,04%"
"18/11/2009","1,2837","1,2896","1,2915","1,2784","","-0,61%"
"17/11/2009","1,2916","1,2804","1,2933","1,2782","","0,78%"
"16/11/2009","1,2816","1,2803","1,2893","1,2686","","-0,49%"
"13/11/2009","1,2879","1,2856","1,2939","1,2797","","-0,26%"
"12/11/2009","1,2913","1,2802","1,2944","1,2764","","0,77%"
"11/11/2009","1,2814","1,2772","1,2857","1,2742","","0,01%"
"10/11/2009","1,2813","1,2767","1,2851","1,2666","","0,06%"
"09/11/2009","1,2805","1,2829","1,2899","1,2666","","-0,72%"
"06/11/2009","1,2898","1,2868","1,2943","1,2819","","0,02%"
"05/11/2009","1,2896","1,2877","1,2944","1,2820","","0,08%"
"04/11/2009","1,2886","1,2924","1,3015","1,2830","","-0,85%"
"03/11/2009","1,2996","1,2955","1,3071","1,2886","","0,25%"
"02/11/2009","1,2964","1,2987","1,3026","1,2825","","-0,28%"
"30/10/2009","1,3000","1,2928","1,3032","1,2895","","0,43%"
"29/10/2009","1,2944","1,2966","1,3005","1,2822","","-0,22%"
"28/10/2009","1,2973","1,2900","1,2999","1,2797","","0,55%"
"27/10/2009","1,2902","1,2917","1,2964","1,2767","","-0,22%"
"26/10/2009","1,2931","1,2801","1,2964","1,2704","","0,69%"
"23/10/2009","1,2843","1,2790","1,2857","1,2739","","0,34%"
"22/10/2009","1,2800","1,2797","1,2855","1,2748","","0,03%"
"21/10/2009","1,2796","1,2846","1,2918","1,2715","","-0,38%"
"20/10/2009","1,2845","1,2819","1,2923","1,2700","","0,09%"
"19/10/2009","1,2833","1,2874","1,2922","1,2712","","-0,16%"
"16/10/2009","1,2854","1,2812","1,2916","1,2718","","0,17%"
"15/10/2009","1,2832","1,2755","1,2927","1,2721","","-0,09%"
"14/10/2009","1,2844","1,2871","1,2933","1,2738","","-0,32%"
"13/10/2009","1,2885","1,2911","1,2944","1,2781","","-0,15%"
"12/10/2009","1,2905","1,2931","1,2990","1,2839","","-0,29%"
"09/10/2009","1,2942","1,2821","1,2990","1,2817","","0,81%"
"08/10/2009","1,2838","1,2953","1,2973","1,2804","","-0,94%"
"07/10/2009","1,2960","1,2897","1,3003","1,2863","","0,40%"
"06/10/2009","1,2909","1,2916","1,3004","1,2849","","-0,59%"
"05/10/2009","1,2985","1,2978","1,3053","1,2901","","-0,35%"
"02/10/2009","1,3030","1,3014","1,3103","1,2907","","0,02%"
"01/10/2009","1,3027","1,2938","1,3053","1,2897","","0,54%"
"30/09/2009","1,2957","1,2976","1,3028","1,2893","","-0,08%"
"29/09/2009","1,2968","1,2950","1,3069","1,2923","","0,07%"
"28/09/2009","1,2959","1,2900","1,3029","1,2877","","0,32%"
"25/09/2009","1,2918","1,2921","1,3012","1,2867","","-0,17%"
"24/09/2009","1,2940","1,2921","1,3004","1,2817","","0,35%"
"23/09/2009","1,2895","1,2846","1,2920","1,2799","","0,05%"
"22/09/2009","1,2889","1,2931","1,2962","1,2825","","-0,45%"
"21/09/2009","1,2947","1,2926","1,3013","1,2907","","0,09%"
"18/09/2009","1,2935","1,2892","1,2974","1,2878","","0,20%"
"17/09/2009","1,2909","1,2917","1,2986","1,2867","","-0,25%"
"16/09/2009","1,2941","1,2965","1,3006","1,2898","","-0,12%"
"15/09/2009","1,2957","1,2969","1,3042","1,2925","","-0,12%"
"14/09/2009","1,2972","1,2993","1,3085","1,2932","","-0,30%"
"11/09/2009","1,3011","1,2983","1,3045","1,2942","","0,06%"
"10/09/2009","1,3003","1,3007","1,3083","1,2954","","-0,11%"
"09/09/2009","1,3017","1,3074","1,3111","1,2968","","-0,58%"
"08/09/2009","1,3093","1,3165","1,3193","1,3031","","-0,61%"
"07/09/2009","1,3174","1,3150","1,3196","1,3099","","-0,13%"
"04/09/2009","1,3191","1,3203","1,3277","1,3138","","-0,35%"
"03/09/2009","1,3237","1,3183","1,3266","1,3128","","0,27%"
"02/09/2009","1,3202","1,3270","1,3310","1,3156","","-0,62%"
"01/09/2009","1,3284","1,3172","1,3323","1,3118","","0,67%"
"31/08/2009","1,3196","1,3221","1,3285","1,3132","","-0,32%"
"28/08/2009","1,3238","1,3122","1,3260","1,3093","","0,76%"
"27/08/2009","1,3138","1,3229","1,3283","1,3073","","-0,79%"
"26/08/2009","1,3243","1,3202","1,3291","1,3130","","0,36%"
"25/08/2009","1,3196","1,3205","1,3249","1,3122","","-0,08%"
"24/08/2009","1,3206","1,3153","1,3240","1,3141","","0,20%"
"21/08/2009","1,3179","1,3183","1,3280","1,3116","","-0,38%"
"20/08/2009","1,3229","1,3205","1,3314","1,3163","","0,15%"
"19/08/2009","1,3209","1,3279","1,3357","1,3171","","-0,77%"
"18/08/2009","1,3312","1,3321","1,3375","1,3212","","-0,21%"
"17/08/2009","1,3340","1,3306","1,3396","1,3206","","0,44%"
"14/08/2009","1,3282","1,3205","1,3349","1,3147","","0,78%"
"13/08/2009","1,3179","1,3259","1,3314","1,3128","","-0,73%"
"12/08/2009","1,3276","1,3272","1,3362","1,3202","","-0,29%"
"11/08/2009","1,3314","1,3289","1,3350","1,3202","","0,11%"
"10/08/2009","1,3300","1,3285","1,3365","1,3213","","0,03%"
"07/08/2009","1,3296","1,3167","1,3341","1,3093","","0,90%"
"06/08/2009","1,3178","1,3112","1,3226","1,3099","","0,21%"
"05/08/2009","1,3150","1,3148","1,3195","1,3087","","0,07%"
"04/08/2009","1,3141","1,3126","1,3189","1,3091","","0,21%"
"03/08/2009","1,3114","1,3232","1,3283","1,3082","","-1,04%"
"31/07/2009","1,3252","1,3353","1,3392","1,3171","","-0,69%"
"30/07/2009","1,3344","1,3413","1,3450","1,3271","","-0,16%"
"29/07/2009","1,3365","1,3286","1,3455","1,3201","","0,53%"
"28/07/2009","1,3295","1,3257","1,3370","1,3191","","0,30%"
"27/07/2009","1,3255","1,3253","1,3315","1,3191","","-0,13%"
"24/07/2009","1,3272","1,3284","1,3344","1,3208","","-0,26%"
"23/07/2009","1,3306","1,3233","1,3356","1,3185","","0,42%"
"22/07/2009","1,3251","1,3232","1,3306","1,3187","","-0,10%"
"21/07/2009","1,3264","1,3228","1,3300","1,3181","","0,11%"
"20/07/2009","1,3250","1,3331","1,3344","1,3202","","-0,67%"
"17/07/2009","1,3340","1,3270","1,3371","1,3257","","0,32%"
"16/07/2009","1,3297","1,3302","1,3387","1,3242","","-0,15%"
"15/07/2009","1,3317","1,3358","1,3455","1,3261","","-0,70%"
"14/07/2009","1,3411","1,3395","1,3468","1,3317","","0,04%"
"13/07/2009","1,3405","1,3385","1,3458","1,3324","","-0,22%"
"10/07/2009","1,3434","1,3353","1,3479","1,3304","","0,53%"
"09/07/2009","1,3363","1,3445","1,3525","1,3291","","-1,07%"
"08/07/2009","1,3507","1,3473","1,3549","1,3386","","0,30%"
"07/07/2009","1,3467","1,3409","1,3497","1,3350","","0,40%"
"06/07/2009","1,3413","1,3446","1,3533","1,3381","","-0,14%"
"03/07/2009","1,3432","1,3452","1,3523","1,3365","","-0,25%"
"02/07/2009","1,3465","1,3352","1,3519","1,3298","","0,37%"
"01/07/2009","1,3415","1,3426","1,3520","1,3263","","-0,17%"
"30/06/2009","1,3438","1,3445","1,3522","1,3344","","-0,04%"
"29/06/2009","1,3444","1,3451","1,3553","1,3393","","-0,29%"
"26/06/2009","1,3483","1,3475","1,3549","1,3395","","0,36%"
"25/06/2009","1,3435","1,3548","1,3590","1,3421","","-0,84%"
"24/06/2009","1,3549","1,3446","1,3626","1,3378","","0,47%"
"23/06/2009","1,3485","1,3573","1,3628","1,3391","","-0,76%"
"22/06/2009","1,3588","1,3562","1,3643","1,3524","","0,13%"
"19/06/2009","1,3570","1,3566","1,3612","1,3470","","-0,13%"
"18/06/2009","1,3587","1,3481","1,3635","1,3452","","0,01%"
"17/06/2009","1,3585","1,3602","1,3699","1,3450","","-0,32%"
"16/06/2009","1,3628","1,3655","1,3708","1,3524","","-0,14%"
"15/06/2009","1,3647","1,3516","1,3699","1,3500","","0,75%"
"12/06/2009","1,3545","1,3450","1,3602","1,3419","","0,65%"
"11/06/2009","1,3457","1,3495","1,3604","1,3381","","-0,72%"
"10/06/2009","1,3555","1,3479","1,3659","1,3380","","0,41%"
"09/06/2009","1,3499","1,3595","1,3672","1,3449","","-0,87%"
"08/06/2009","1,3618","1,3585","1,3741","1,3543","","0,26%"
"05/06/2009","1,3583","1,3413","1,3631","1,3333","","1,16%"
"04/06/2009","1,3427","1,3462","1,3534","1,3318","","-0,30%"
"03/06/2009","1,3468","1,3295","1,3506","1,3249","","1,16%"
"02/06/2009","1,3314","1,3417","1,3538","1,3250","","-0,85%"
"01/06/2009","1,3428","1,3448","1,3522","1,3291","","-0,27%"
"29/05/2009","1,3464","1,3569","1,3642","1,3363","","-1,15%"
"28/05/2009","1,3620","1,3586","1,3737","1,3490","","-0,23%"
"27/05/2009","1,3652","1,3501","1,3712","1,3421","","0,73%"
"26/05/2009","1,3553","1,3473","1,3632","1,3456","","0,35%"
"25/05/2009","1,3506","1,3470","1,3560","1,3387","","-0,07%"
"22/05/2009","1,3515","1,3538","1,3607","1,3377","","-0,30%"
"21/05/2009","1,3555","1,3634","1,3740","1,3448","","-0,89%"
"20/05/2009","1,3677","1,3764","1,3792","1,3514","","-0,57%"
"19/05/2009","1,3756","1,3781","1,3832","1,3667","","-0,50%"
"18/05/2009","1,3825","1,3827","1,3937","1,3741","","-0,05%"
"15/05/2009","1,3832","1,3673","1,3901","1,3659","","0,77%"
"14/05/2009","1,3726","1,3775","1,3853","1,3625","","-0,33%"
"13/05/2009","1,3771","1,3697","1,3817","1,3617","","0,45%"
"12/05/2009","1,3709","1,3774","1,3804","1,3622","","-0,23%"
"11/05/2009","1,3740","1,3710","1,3815","1,3647","","0,06%"
"08/05/2009","1,3732","1,3893","1,3954","1,3664","","-1,26%"
"07/05/2009","1,3907","1,3909","1,3997","1,3761","","-0,06%"
"06/05/2009","1,3915","1,3941","1,4022","1,3839","","-0,14%"
"05/05/2009","1,3935","1,3830","1,3975","1,3796","","0,54%"
"04/05/2009","1,3860","1,3950","1,4080","1,3819","","-0,87%"
"01/05/2009","1,3981","1,3999","1,4049","1,3886","","-0,21%"
"30/04/2009","1,4011","1,4008","1,4179","1,3862","","-0,01%"
"29/04/2009","1,4013","1,4088","1,4170","1,3897","","-0,99%"
"28/04/2009","1,4153","1,4152","1,4257","1,4018","","-0,39%"
"27/04/2009","1,4209","1,3981","1,4239","1,3978","","0,84%"
"24/04/2009","1,4090","1,4155","1,4212","1,3937","","-0,18%"
"23/04/2009","1,4116","1,4180","1,4289","1,4050","","-0,77%"
"22/04/2009","1,4226","1,4269","1,4354","1,4145","","-0,14%"
"21/04/2009","1,4246","1,4260","1,4308","1,4127","","0,11%"
