"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"23/03/2023","7,18","7,18","7,18","7,18","0,08K","0,14%"
"22/03/2023","7,17","7,17","7,17","7,17","0,02K","2,43%"
"17/03/2023","7,00","7,00","7,00","7,00","0,37K","0,00%"
"16/03/2023","7,00","7,00","7,00","7,00","0,15K","0,00%"
"15/03/2023","7,00","7,00","7,00","7,00","2,40K","0,00%"
"14/03/2023","7,00","7,00","7,00","7,00","0,17K","-2,23%"
"13/03/2023","7,16","7,16","7,16","7,16","0,04K","0,00%"
"07/03/2023","7,16","7,16","7,16","7,16","0,23K","-0,14%"
"21/02/2023","7,17","7,17","7,17","7,17","0,06K","-0,14%"
"20/02/2023","7,18","7,18","7,18","7,18","0,15K","0,00%"
"16/02/2023","7,18","7,18","7,18","7,18","0,09K","-0,14%"
"13/02/2023","7,19","7,19","7,19","7,19","0,04K","0,00%"
"10/02/2023","7,19","7,19","7,19","7,19","3,65K","0,00%"
"09/02/2023","7,19","7,19","7,19","7,19","0,10K","0,00%"
"08/02/2023","7,19","7,19","7,19","7,19","0,13K","0,00%"
"07/02/2023","7,19","7,19","7,19","7,19","0,35K","-1,37%"
"31/01/2023","7,29","7,29","7,29","7,29","0,01K","1,25%"
"30/01/2023","7,20","7,20","7,20","7,20","0,03K","0,00%"
"27/01/2023","7,20","7,20","7,20","7,20","1,97K","0,14%"
"23/01/2023","7,19","7,19","7,19","7,19","2,49K","-0,14%"
"19/01/2023","7,20","7,20","7,20","7,20","0,20K","0,00%"
"18/01/2023","7,20","7,20","7,20","7,20","0,51K","0,00%"
"13/01/2023","7,20","7,20","7,20","7,20","20,72K","0,00%"
"05/01/2023","7,20","7,20","7,20","7,20","146,00K","-2,57%"
"03/01/2023","7,39","7,39","7,39","7,39","1,44K","0,00%"
"02/01/2023","7,39","7,39","7,39","7,39","1,58K","-0,14%"
"30/12/2022","7,40","7,30","7,40","7,30","2,98K","1,37%"
"29/12/2022","7,30","7,30","7,30","7,30","13,52K","1,25%"
"28/12/2022","7,21","7,20","7,21","7,20","0,40K","0,14%"
"27/12/2022","7,20","7,20","7,20","7,20","0,50K","0,00%"
"26/12/2022","7,20","7,20","7,20","7,20","0,02K","0,14%"
"23/12/2022","7,19","7,19","7,19","7,19","1,32K","0,00%"
"22/12/2022","7,19","7,20","7,20","7,19","1,30K","-0,14%"
"20/12/2022","7,20","7,20","7,20","7,20","0,03K","2,86%"
"19/12/2022","7,00","7,00","7,00","7,00","0,56K","-2,78%"
"16/12/2022","7,20","7,20","7,20","7,20","0,01K","0,00%"
"12/12/2022","7,20","7,20","7,20","7,20","0,20K","2,13%"
"09/12/2022","7,05","6,88","7,05","6,88","181,55K","-2,08%"
"02/12/2022","7,20","7,20","7,20","7,20","7,00K","-0,14%"
"30/11/2022","7,21","7,21","7,21","7,21","0,38K","2,27%"
